Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B07",Rare Event Detection,"RED","AA210430S-",Ch1Unknown,"N1","Manual",0.69,One-Step RT-ddPCR Kit for Probes,13.8,,,1.16,0.51,12,20563,12,0,4,20559,0.686,20575,,,,,,,,0.7,,,1.3,0.2,43,,,61,24,1,1,6379,10476,2891.6,2896.1,"Rare Event Detection Experiment",,,,0.9,0,,,,,,,1.04,0.46,,,52,33,
"B08",Rare Event Detection,"RED","AA210430S-",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,388,0,0,0,388,0,388,,,,,,,,,,,,,,,,,,1,1,6379,0,1426.5,1426.5,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","AA210423S",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,3,0.6,3,3085,2,1,1,3084,0.762,3088,,,,,,,,1,,,2.7,0,50,,,93,7,1,1,6379,9097,2914,2920,"Rare Event Detection Experiment",,,,2,0,,,,,,,1.8,0.2,,,71,29,
"C02",Rare Event Detection,"RED","AA210423S",Ch1Unknown,"N1","Manual",0.99,One-Step RT-ddPCR Kit for Probes,19.8,,,1.67,0.73,12,14226,11,1,0,14226,0.909,14238,,,,,,,,1.1,,,2,0.2,52,,,73,31,1,1,6379,10289,2839.8,2846.1,"Rare Event Detection Experiment",,,,1.3,0,,,,,,,1.55,0.63,,,63,42,
"C03",Rare Event Detection,"RED","AA210423S-",Ch1Unknown,"N1","Manual",1.03,One-Step RT-ddPCR Kit for Probes,20.6,,,1.73,0.76,12,13734,12,0,1,13733,1.03,13746,,,,,,,,0.9,,,1.7,0.2,48,,,68,28,1,1,6379,10534,3035.6,3042.2,"Rare Event Detection Experiment",,,,1.4,0,,,,,,,1.29,0.55,,,58,38,
"C04",Rare Event Detection,"RED","AA210423S-",Ch1Unknown,"N1","Manual",1.3,One-Step RT-ddPCR Kit for Probes,26,,,2,1,15,14069,14,1,1,14068,1.17,14084,,,,,,,,1,,,1.7,0.3,50,,,68,32,1,1,6379,9969.1,2868.4,2875.9,"Rare Event Detection Experiment",,,,1.6,0,,,,,,,1.37,0.63,,,59,41,
"C05",Rare Event Detection,"RED","AA210501S",Ch1Unknown,"N1","Manual",0.81,One-Step RT-ddPCR Kit for Probes,16.2,,,1.46,0.57,9,13141,9,0,0,13141,0.805,13150,,,,,,,,1,,,1.9,0.1,50,,,74,26,1,1,6379,12483,2928.2,2934.7,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,1.47,0.53,,,62,38,
"C06",Rare Event Detection,"RED","AA210501S",Ch1Unknown,"N1","Manual",0.78,One-Step RT-ddPCR Kit for Probes,15.6,,,1.26,0.59,14,21134,13,1,0,21134,0.723,21148,,,,,,,,1.1,,,1.9,0.3,52,,,71,33,1,1,6379,11112,2959.2,2964.6,"Rare Event Detection Experiment",,,,1,0,,,,,,,1.49,0.66,,,61,42,
"C07",Rare Event Detection,"RED","AA210501S-",Ch1Unknown,"N1","Manual",0.4,One-Step RT-ddPCR Kit for Probes,8,,,0.87,0.25,5,14717,4,1,1,14716,0.32,14722,,,,,,,,1,,,2.3,0,50,,,82,18,1,1,6379,10540,2933.9,2936.5,"Rare Event Detection Experiment",,,,0.61,0,,,,,,,1.6,0.4,,,66,34,
"C08",Rare Event Detection,"RED","AA210501S-",Ch1Unknown,"N1","Manual",0.89,One-Step RT-ddPCR Kit for Probes,17.8,,,1.4,0.69,16,21152,14,2,0,21152,0.778,21168,,,,,,,,1.1,,,2,0.3,53,,,71,35,1,1,6379,9917.5,2956.2,2961.5,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,1.56,0.72,,,62,44,
