Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B04",Rare Event Detection,"RED","26YC201027S-",Ch1Unknown,"N1","Manual",0.71,One-Step RT-ddPCR Kit for Probes,14.2,,,1.26,0.35,10,16498,10,0,0,16498,0.713,16508,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,7131,12299,3487.8,3493.1,"Rare Event Detection Experiment",,,,0.96,0.51,,,,,,,1.45,0.55,,,61,39,
"B05",Rare Event Detection,"RED","26YC201123S",Ch1Unknown,"N1","Manual",6,One-Step RT-ddPCR Kit for Probes,120,,,7.5,4.7,73,14235,68,5,0,14235,5.6,14308,,,,,,,,1.07,,,1.43,0.72,52,,,60,43,1,1,7131,11853,3468.1,3510.8,"Rare Event Detection Experiment",,,,6.7,5.3,,,,,,,1.25,0.89,,,56,47.6,
"B06",Rare Event Detection,"RED","26YC201123S",Ch1Unknown,"N1","Manual",6.6,One-Step RT-ddPCR Kit for Probes,132,,,8,5.3,89,15926,87,2,0,15926,6.41,16015,,,,,,,,1.02,,,1.33,0.72,51,,,58,43,1,1,7131,11893,3398.1,3445.3,"Rare Event Detection Experiment",,,,7.3,5.9,,,,,,,1.18,0.87,,,54.3,46.8,
"B07",Rare Event Detection,"RED","26YC201123S-",Ch1Unknown,"N1","Manual",6.7,One-Step RT-ddPCR Kit for Probes,134,,,8.3,5.3,77,13580,77,0,0,13580,6.65,13657,,,,,,,,1,,,1.32,0.68,50,,,58,42,1,1,7131,12599,3570,3621,"Rare Event Detection Experiment",,,,7.4,5.9,,,,,,,1.16,0.84,,,54,46,
"B08",Rare Event Detection,"RED","26YC201123S-",Ch1Unknown,"N1","Manual",7,One-Step RT-ddPCR Kit for Probes,140,,,8.3,5.6,101,16997,100,1,0,16997,6.9,17098,,,,,,,,1.01,,,1.29,0.73,50,,,57,43,1,1,7131,12879,3649.8,3704.4,"Rare Event Detection Experiment",,,,7.7,6.3,,,,,,,1.15,0.87,,,53.8,46.7,
"B09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"N1","Manual",74.5,One-Step RT-ddPCR Kit for Probes,1490,,,79.3,69.8,948,14497,940,8,2,14495,73.9,15445,,,,,,,,,,,,,,,,,,1,1,7131,19154,3315.6,4287.7,"Rare Event Detection Experiment",,,,76.9,72.1,,,,,,,,,,,,,
"B10",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.25,0,0,14060,0,0,0,14060,0,14060,,,,,,,,,,,,,,,,,,1,1,7131,0,3414.1,3414.1,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","26YC201028S",Ch1Unknown,"N1","Manual",0.71,One-Step RT-ddPCR Kit for Probes,14.2,,,1.23,0.37,11,18103,11,0,0,18103,0.715,18114,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,7131,12431,3460.3,3465.7,"Rare Event Detection Experiment",,,,0.95,0.52,,,,,,,1.43,0.57,,,61,39,
"C02",Rare Event Detection,"RED","26YC201028S",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.6,13,14054,13,0,0,14054,1.09,14067,,,,,,,,1,,,1.8,0.2,50,,,70,30,1,1,7131,12737,3570.1,3578.6,"Rare Event Detection Experiment",,,,1.42,0.81,,,,,,,1.39,0.61,,,60,40,
"C03",Rare Event Detection,"RED","26YC201028S-",Ch1Unknown,"N1","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.3,0.9,19,15041,19,0,0,15041,1.49,15060,,,,,,,,1,,,1.6,0.4,50,,,66,34,1,1,7131,12659,3578.2,3589.7,"Rare Event Detection Experiment",,,,1.85,1.17,,,,,,,1.32,0.68,,,58,42,
"C04",Rare Event Detection,"RED","26YC201028S-",Ch1Unknown,"N1","Manual",1.4,One-Step RT-ddPCR Kit for Probes,28,,,2.1,0.9,20,16866,19,1,0,16866,1.32,16886,,,,,,,,1.1,,,1.7,0.4,51,,,67,35,1,1,7131,12145,3502.1,3512.3,"Rare Event Detection Experiment",,,,1.73,1.11,,,,,,,1.39,0.72,,,59,43,
"C05",Rare Event Detection,"RED","26YC201124S",Ch1Unknown,"N1","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,5,3,59,17642,58,1,0,17642,3.86,17701,,,,,,,,1.02,,,1.39,0.65,50,,,60,41,1,1,7131,12261,3544.5,3573.5,"Rare Event Detection Experiment",,,,4.5,3.4,,,,,,,1.21,0.83,,,55,45.8,
"C06",Rare Event Detection,"RED","26YC201124S",Ch1Unknown,"N1","Manual",4.6,One-Step RT-ddPCR Kit for Probes,92,,,5.9,3.4,52,13400,50,2,0,13400,4.38,13452,,,,,,,,1.04,,,1.45,0.63,51,,,61,41,1,1,7131,12022,3423.6,3456.8,"Rare Event Detection Experiment",,,,5.2,4,,,,,,,1.25,0.83,,,55.9,46,
"C07",Rare Event Detection,"RED","26YC201124S-",Ch1Unknown,"N1","Manual",5,One-Step RT-ddPCR Kit for Probes,100,,,9.3,2.2,8,1888,8,0,0,1888,4.97,1896,,,,,,,,1,,,2,0,50,,,75,25,1,1,7131,11356,3334.4,3368.2,"Rare Event Detection Experiment",,,,7,3.4,,,,,,,1.5,0.5,,,63,37,
"C08",Rare Event Detection,"RED","26YC201124S-",Ch1Unknown,"N1","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,4.9,2.9,57,17372,57,0,0,17372,3.85,17429,,,,,,,,1,,,1.37,0.63,50,,,59,41,1,1,7131,12166,3581.9,3610,"Rare Event Detection Experiment",,,,4.4,3.4,,,,,,,1.19,0.81,,,54.7,45.3,
"C09",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"N1","Manual",75.7,One-Step RT-ddPCR Kit for Probes,1514,,,80.4,71.1,1019,15330,1011,8,1,15329,75.1,16349,,,,,,,,,,,,,,,,,,1,1,7131,19390,3376.1,4374.2,"Rare Event Detection Experiment",,,,78.1,73.3,,,,,,,,,,,,,
"C10",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,1.5,0,0,2306,0,0,0,2306,0,2306,,,,,,,,,,,,,,,,,,1,1,7131,0,2332.2,2332.2,"Rare Event Detection Experiment",,,,0.7,0,,,,,,,,,,,,,
"D01",Rare Event Detection,"RED","26YC201029S",Ch1Unknown,"N1","Manual",1.2,One-Step RT-ddPCR Kit for Probes,24,,,1.9,0.8,19,18206,19,0,0,18206,1.23,18225,,,,,,,,1,,,1.6,0.4,50,,,66,34,1,1,7131,12331,3486.4,3495.6,"Rare Event Detection Experiment",,,,1.53,0.97,,,,,,,1.32,0.68,,,58,42,
"D02",Rare Event Detection,"RED","26YC201029S",Ch1Unknown,"N1","Manual",1.2,One-Step RT-ddPCR Kit for Probes,24,,,1.9,0.7,18,17444,18,0,0,17444,1.21,17462,,,,,,,,1,,,1.7,0.3,50,,,67,33,1,1,7131,12100,3555,3563.8,"Rare Event Detection Experiment",,,,1.52,0.95,,,,,,,1.33,0.67,,,58,42,
"D03",Rare Event Detection,"RED","26YC201029S-",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.7,15,15426,15,0,0,15426,1.14,15441,,,,,,,,1,,,1.7,0.3,50,,,68,32,1,1,7131,12584,3600.2,3608.9,"Rare Event Detection Experiment",,,,1.46,0.87,,,,,,,1.37,0.63,,,59,41,
"D04",Rare Event Detection,"RED","26YC201029S-",Ch1Unknown,"N1","Manual",0.77,One-Step RT-ddPCR Kit for Probes,15.4,,,1.3,0.41,12,18341,12,0,0,18341,0.769,18353,,,,,,,,1,,,1.8,0.2,50,,,70,30,1,1,7131,11827,3490.3,3495.7,"Rare Event Detection Experiment",,,,1.01,0.57,,,,,,,1.41,0.59,,,60,40,
"D05",Rare Event Detection,"RED","26YC201125S",Ch1Unknown,"N1","Manual",5.8,One-Step RT-ddPCR Kit for Probes,116,,,7.3,4.6,69,13856,69,0,0,13856,5.84,13925,,,,,,,,1,,,1.34,0.66,50,,,58,42,1,1,7131,12629,3603.1,3647.8,"Rare Event Detection Experiment",,,,6.6,5.2,,,,,,,1.17,0.83,,,54.3,45.7,
"D06",Rare Event Detection,"RED","26YC201125S",Ch1Unknown,"N1","Manual",4.4,One-Step RT-ddPCR Kit for Probes,88,,,5.8,3.3,52,13763,50,2,0,13763,4.27,13815,,,,,,,,1.04,,,1.45,0.63,51,,,61,41,1,1,7131,12056,3552.3,3584.3,"Rare Event Detection Experiment",,,,5.1,3.9,,,,,,,1.25,0.83,,,55.9,46,
"D07",Rare Event Detection,"RED","26YC201125S-",Ch1Unknown,"N1","Manual",5.5,One-Step RT-ddPCR Kit for Probes,110,,,7,4.3,64,13674,64,0,0,13674,5.49,13738,,,,,,,,1,,,1.35,0.65,50,,,59,41,1,1,7131,12617,3688.8,3730.4,"Rare Event Detection Experiment",,,,6.2,4.8,,,,,,,1.18,0.82,,,54.4,45.6,
"D08",Rare Event Detection,"RED","26YC201125S-",Ch1Unknown,"N1","Manual",5.7,One-Step RT-ddPCR Kit for Probes,114,,,7,4.5,79,16407,79,0,3,16404,5.65,16486,,,,,,,,0.96,,,1.26,0.66,49,,,57,41,1,1,7131,12609,3692.3,3735,"Rare Event Detection Experiment",,,,6.3,5,,,,,,,1.11,0.81,,,53,45.1,
"D09",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"N1","Manual",72.7,One-Step RT-ddPCR Kit for Probes,1454,,,77.2,68.3,1020,15992,1014,6,1,15991,72.3,17012,,,,,,,,,,,,,,,,,,1,1,7131,19454,3391.2,4354.3,"Rare Event Detection Experiment",,,,75,70.5,,,,,,,,,,,,,
"D10",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.24,0,0,14942,0,0,0,14942,0,14942,,,,,,,,,,,,,,,,,,1,1,7131,0,3390.2,3390.2,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"E01",Rare Event Detection,"RED","26YC201030S",Ch1Unknown,"N1","Manual",1.3,One-Step RT-ddPCR Kit for Probes,26,,,2,0.8,18,16684,18,0,0,16684,1.27,16702,,,,,,,,1,,,1.7,0.3,50,,,67,33,1,1,7131,12400,3559.5,3569,"Rare Event Detection Experiment",,,,1.59,0.99,,,,,,,1.33,0.67,,,58,42,
"E02",Rare Event Detection,"RED","26YC201030S",Ch1Unknown,"N1","Manual",0.7,One-Step RT-ddPCR Kit for Probes,14,,,1.4,0.3,8,12751,8,0,1,12750,0.738,12759,,,,,,,,0.9,,,1.8,0,47,,,71,23,1,1,7131,12490,3602,3607.5,"Rare Event Detection Experiment",,,,1.03,0.51,,,,,,,1.32,0.45,,,59,35,
"E03",Rare Event Detection,"RED","26YC201030S-",Ch1Unknown,"N1","Manual",0.8,One-Step RT-ddPCR Kit for Probes,16,,,1.5,0.4,10,14287,10,0,1,14286,0.823,14297,,,,,,,,0.9,,,1.7,0.1,48,,,69,26,1,1,7131,11696,3581.9,3587.6,"Rare Event Detection Experiment",,,,1.11,0.59,,,,,,,1.31,0.51,,,59,37,
"E04",Rare Event Detection,"RED","26YC201030S-",Ch1Unknown,"N1","Manual",1.2,One-Step RT-ddPCR Kit for Probes,24,,,2,0.7,13,12793,13,0,2,12791,1.19,12806,,,,,,,,0.9,,,1.5,0.2,46,,,65,28,1,1,7131,12212,3634.8,3643.5,"Rare Event Detection Experiment",,,,1.56,0.89,,,,,,,1.2,0.54,,,56,37,
"E05",Rare Event Detection,"RED","26YC201130S",Ch1Unknown,"N1","Manual",8.1,One-Step RT-ddPCR Kit for Probes,162,,,9.6,6.5,104,15088,102,2,0,15088,7.93,15192,,,,,,,,1.02,,,1.3,0.74,50,,,57,44,1,1,7131,12860,3546.3,3610.1,"Rare Event Detection Experiment",,,,8.9,7.3,,,,,,,1.16,0.88,,,54,47,
"E06",Rare Event Detection,"RED","26YC201130S",Ch1Unknown,"N1","Manual",9.6,One-Step RT-ddPCR Kit for Probes,192,,,11.3,7.9,122,14958,122,0,0,14958,9.56,15080,,,,,,,,1,,,1.25,0.75,50,,,56,44,1,1,7131,12404,3561,3632.5,"Rare Event Detection Experiment",,,,10.4,8.7,,,,,,,1.13,0.87,,,53.2,46.8,
"E07",Rare Event Detection,"RED","26YC201130S-",Ch1Unknown,"N1","Manual",9,One-Step RT-ddPCR Kit for Probes,180,,,11,7.3,97,12587,96,1,0,12587,8.94,12684,,,,,,,,1.01,,,1.3,0.72,50,,,57,43,1,1,7131,12225,3565.3,3631.6,"Rare Event Detection Experiment",,,,10,8.1,,,,,,,1.16,0.87,,,53.9,46.7,
"E08",Rare Event Detection,"RED","26YC201130S-",Ch1Unknown,"N1","Manual",8.8,One-Step RT-ddPCR Kit for Probes,176,,,10.4,7.3,123,16307,123,0,0,16307,8.84,16430,,,,,,,,1,,,1.25,0.75,50,,,56,44,1,1,7131,12660,3557.3,3625.5,"Rare Event Detection Experiment",,,,9.6,8,,,,,,,1.13,0.87,,,53.2,46.8,
"E09",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"N1","Manual",65.6,One-Step RT-ddPCR Kit for Probes,1312,,,69.8,61.4,928,16188,923,5,0,16188,65.2,17116,,,,,,,,,,,,,,,,,,1,1,7131,19031,3339.9,4190.6,"Rare Event Detection Experiment",,,,67.7,63.4,,,,,,,,,,,,,
