Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B06",Rare Event Detection,"RED","YC201106S",Ch1Unknown,"N1","Manual",1.9,One-Step RT-ddPCR Kit for Probes,38,,,2.7,1.2,25,15511,25,0,0,15511,1.89,15536,,,,,,,,1,,,1.6,0.4,50,,,64,36,1,1,8855,13477,3554,3570,"Rare Event Detection Experiment",,,,2.3,1.54,,,,,,,1.28,0.72,,,57,43,
"B07",Rare Event Detection,"RED","YC201106S-",Ch1Unknown,"N1","Manual",2.2,One-Step RT-ddPCR Kit for Probes,44,,,3.5,1.3,16,8359,16,0,2,8357,2.25,8375,,,,,,,,0.9,,,1.5,0.3,47,,,64,30,1,1,8855,12307,3596.7,3613.3,"Rare Event Detection Experiment",,,,2.9,1.7,,,,,,,1.19,0.58,,,56,38,
"B08",Rare Event Detection,"RED","YC201106S-",Ch1Unknown,"N1","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.3,0.9,18,14455,18,0,0,14455,1.46,14473,,,,,,,,1,,,1.7,0.3,50,,,67,33,1,1,8855,12139,3487.1,3497.9,"Rare Event Detection Experiment",,,,1.84,1.15,,,,,,,1.33,0.67,,,58,42,
"B09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"N1","Manual",69,One-Step RT-ddPCR Kit for Probes,1380,,,74,64,698,11560,698,0,7,11553,69,12258,,,,,,,,,,,,,,,,,,1,1,8855,19934,3344.1,4288.8,"Rare Event Detection Experiment",,,,71.6,66.4,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","YC201021S",Ch1Unknown,"N1","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,4.7,0.4,3,2010,3,0,0,2010,1.75,2013,,,,,,,,1,,,2.7,0,50,,,93,7,1,1,8855,12358,3763.4,3776.2,"Rare Event Detection Experiment",,,,3,0.9,,,,,,,1.8,0.2,,,71,29,
"C02",Rare Event Detection,"RED","YC201021S",Ch1Unknown,"N1","Manual",0.49,One-Step RT-ddPCR Kit for Probes,9.8,,,1,0.19,6,14447,6,0,0,14447,0.488,14453,,,,,,,,1,,,2.2,0,50,,,79,21,1,1,8855,12182,3406.4,3410,"Rare Event Detection Experiment",,,,0.72,0.31,,,,,,,1.6,0.4,,,65,35,
"C03",Rare Event Detection,"RED","YC201021S-",Ch1Unknown,"N1","Manual",0.62,One-Step RT-ddPCR Kit for Probes,12.4,,,1.17,0.28,8,15082,8,0,1,15081,0.624,15090,,,,,,,,0.9,,,1.8,0,47,,,71,23,1,1,8855,11803,3373.6,3378,"Rare Event Detection Experiment",,,,0.87,0.43,,,,,,,1.32,0.45,,,59,35,
"C04",Rare Event Detection,"RED","YC201021S-",Ch1Unknown,"N1","Manual",0.45,One-Step RT-ddPCR Kit for Probes,9,,,0.97,0.16,5,13120,5,0,0,13120,0.448,13125,,,,,,,,1,,,2.3,0,50,,,82,18,1,1,8855,11897,3384.8,3388,"Rare Event Detection Experiment",,,,0.68,0.27,,,,,,,1.6,0.4,,,66,34,
"C05",Rare Event Detection,"RED","YC201116S",Ch1Unknown,"N1","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.5,2.5,44,15188,44,0,0,15188,3.4,15232,,,,,,,,1,,,1.42,0.58,50,,,61,39,1,1,8855,12583,3522.4,3548.5,"Rare Event Detection Experiment",,,,3.9,2.9,,,,,,,1.21,0.79,,,55,45,
"C06",Rare Event Detection,"RED","YC201116S",Ch1Unknown,"N1","Manual",2,One-Step RT-ddPCR Kit for Probes,40,,,2.9,1.4,26,14965,26,0,0,14965,2.04,14991,,,,,,,,1,,,1.5,0.5,50,,,64,36,1,1,8855,12384,3396.9,3412.5,"Rare Event Detection Experiment",,,,2.47,1.67,,,,,,,1.28,0.72,,,57,43,
