Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"D03",Rare Event Detection,"RED","YC210326S-",Ch1Unknown,"N1","Manual",0.75,One-Step RT-ddPCR Kit for Probes,15,,,1.29,0.55,11,17198,9,2,0,17198,0.615,17209,,,,,,,,1.2,,,2.3,0.1,55,,,77,33,1,1,7300,11974,3570.5,3575.9,"Rare Event Detection Experiment",,,,1,0,,,,,,,1.8,0.7,,,66,44,
"D04",Rare Event Detection,"RED","YC210326S-",Ch1Unknown,"N1","Manual",0.78,One-Step RT-ddPCR Kit for Probes,15.6,,,1.38,0.56,10,15001,9,1,0,15001,0.706,15011,,,,,,,,1.1,,,2.1,0.1,53,,,76,30,1,1,7300,13971,3524.1,3531.1,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,1.6,0.6,,,64,41,
"E01",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"N1","Manual",74.3,One-Step RT-ddPCR Kit for Probes,1486,,,78.8,72.1,1053,16143,1049,4,3,16140,74,17196,,,,,,,,,,,,,,,,,,1,1,7300,20010,3362.9,4382.3,"Rare Event Detection Experiment",,,,77,0,,,,,,,,,,,,,
"E02",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"N1","Manual",67.3,One-Step RT-ddPCR Kit for Probes,1346,,,72.4,64.8,683,11595,679,4,1,11594,66.9,12278,,,,,,,,,,,,,,,,,,1,1,7300,19860,3365.4,4282.9,"Rare Event Detection Experiment",,,,70,0,,,,,,,,,,,,,
"E03",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.29,0,0,12303,0,0,0,12303,0,12303,,,,,,,,,,,,,,,,,,1,1,7300,0,3418.8,3418.8,"Rare Event Detection Experiment",,,,0.13,0,,,,,,,,,,,,,
"E04",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.22,0,0,16282,0,0,0,16282,0,16282,,,,,,,,,,,,,,,,,,1,1,7300,0,3271.8,3271.8,"Rare Event Detection Experiment",,,,0.099,0,,,,,,,,,,,,,
"F01",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"N1","Manual",74.2,One-Step RT-ddPCR Kit for Probes,1484,,,78.9,71.8,973,14943,969,4,4,14939,73.9,15916,,,,,,,,,,,,,,,,,,1,1,7300,20159,3444.3,4466.1,"Rare Event Detection Experiment",,,,77,0,,,,,,,,,,,,,
"F02",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"N1","Manual",68.6,One-Step RT-ddPCR Kit for Probes,1372,,,73.1,66.3,886,14753,883,3,1,14752,68.4,15639,,,,,,,,,,,,,,,,,,1,1,7300,20254,3384.9,4340.6,"Rare Event Detection Experiment",,,,71,0,,,,,,,,,,,,,
"F03",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"N1","Manual",0.06,One-Step RT-ddPCR Kit for Probes,1.2,,,0.29,0.02,1,19363,0,1,0,19363,0,19364,,,,,,,,,,,,,,,,,,1,1,7300,8967.4,3455.6,3455.9,"Rare Event Detection Experiment",,,,0.15,0,,,,,,,,,,,,,
"F04",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18969,0,0,0,18969,0,18969,,,,,,,,,,,,,,,,,,1,1,7300,0,3374.3,3374.3,"Rare Event Detection Experiment",,,,0.085,0,,,,,,,,,,,,,
