Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC210205S",Ch1Unknown,"N1","Manual",1.9,One-Step RT-ddPCR Kit for Probes,38,,,2.7,1.2,27,16979,27,0,0,16979,1.87,17006,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,7382,11977,3478.6,3492.1,"Rare Event Detection Experiment",,,,2.25,1.53,,,,,,,1.27,0.73,,,57,43,
"A02",Rare Event Detection,"RED","YC210205S",Ch1Unknown,"N1","Manual",1.3,One-Step RT-ddPCR Kit for Probes,26,,,2,0.8,17,15195,17,0,4,15191,1.32,15212,,,,,,,,0.8,,,1.3,0.3,45,,,61,29,1,1,7382,12502,3666.1,3675.9,"Rare Event Detection Experiment",,,,1.66,1.02,,,,,,,1.07,0.55,,,53,37,
"A03",Rare Event Detection,"RED","YC210205S-",Ch1Unknown,"N1","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.3,0.9,19,14659,19,0,0,14659,1.52,14678,,,,,,,,1,,,1.6,0.4,50,,,66,34,1,1,7382,13117,3588.4,3600.8,"Rare Event Detection Experiment",,,,1.9,1.2,,,,,,,1.32,0.68,,,58,42,
"A04",Rare Event Detection,"RED","YC210205S-",Ch1Unknown,"N1","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.7,0.6,14,15911,14,0,17,15894,1.03,15925,,,,,,,,0.45,,,0.74,0.16,31,,,45,17,1,1,7382,12672,3815.2,3823,"Rare Event Detection Experiment",,,,1.34,0.78,,,,,,,0.6,0.31,,,38,24,
"A05",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17691,0,0,0,17691,0,17691,,,,,,,,,,,,,,,,,,1,1,7382,0,3161.8,3161.8,"Rare Event Detection Experiment",,,,0.091,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC210208S",Ch1Unknown,"N1","Manual",1.2,One-Step RT-ddPCR Kit for Probes,24,,,1.9,0.7,19,18353,19,0,0,18353,1.22,18372,,,,,,,,1,,,1.6,0.4,50,,,66,34,1,1,7382,12978,3630.8,3640.5,"Rare Event Detection Experiment",,,,1.52,0.96,,,,,,,1.32,0.68,,,58,42,
"B02",Rare Event Detection,"RED","YC210208S",Ch1Unknown,"N1","Manual",1.9,One-Step RT-ddPCR Kit for Probes,38,,,6.2,0.3,2,1223,2,0,3,1220,1.92,1225,,,,,,,,0.4,,,1.1,0,29,,,65,0,1,1,7382,8817,4014.7,4022.5,"Rare Event Detection Experiment",,,,3.7,0.8,,,,,,,0.75,0.05,,,46,11,
"B03",Rare Event Detection,"RED","YC210208S-",Ch1Unknown,"N1","Manual",0.52,One-Step RT-ddPCR Kit for Probes,10.4,,,1.07,0.2,6,13539,6,0,0,13539,0.521,13545,,,,,,,,1,,,2.2,0,50,,,79,21,1,1,7382,12755,3639.3,3643.4,"Rare Event Detection Experiment",,,,0.77,0.34,,,,,,,1.6,0.4,,,65,35,
"B04",Rare Event Detection,"RED","YC210208S-",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.6,12,13139,12,0,0,13139,1.07,13151,,,,,,,,1,,,1.8,0.2,50,,,70,30,1,1,7382,12719,3673.2,3681.5,"Rare Event Detection Experiment",,,,1.42,0.79,,,,,,,1.41,0.59,,,60,40,
"B05",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19353,0,0,0,19353,0,19353,,,,,,,,,,,,,,,,,,1,1,7382,0,3273.4,3273.4,"Rare Event Detection Experiment",,,,0.083,0,,,,,,,,,,,,,
