Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B03",Rare Event Detection,"RED","AA210402S-",Ch1Unknown,"N1","Manual",0.99,One-Step RT-ddPCR Kit for Probes,19.8,,,1.56,0.58,16,18967,14,2,0,18967,0.868,18983,,,,,,,,1.1,,,2,0.3,53,,,71,35,1,1,5000,10269,2907.9,2914.1,"Rare Event Detection Experiment",,,,1.26,0.76,,,,,,,1.56,0.72,,,62,44,
"B04",Rare Event Detection,"RED","AA210402S-",Ch1Unknown,"N1","Manual",0.68,One-Step RT-ddPCR Kit for Probes,13.6,,,1.17,0.35,11,19023,11,0,0,19023,0.68,19034,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,5000,11078,2974.2,2978.9,"Rare Event Detection Experiment",,,,0.91,0.49,,,,,,,1.43,0.57,,,61,39,
"B05",Rare Event Detection,"RED","AA210412S",Ch1Unknown,"N1","Manual",0.73,One-Step RT-ddPCR Kit for Probes,14.6,,,1.25,0.37,11,17841,11,0,0,17841,0.725,17852,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,5000,11257,2906.2,2911.3,"Rare Event Detection Experiment",,,,0.97,0.53,,,,,,,1.43,0.57,,,61,39,
"B06",Rare Event Detection,"RED","AA210412S",Ch1Unknown,"N1","Manual",0.85,One-Step RT-ddPCR Kit for Probes,17,,,1.38,0.48,14,19434,13,1,0,19434,0.787,19448,,,,,,,,1.1,,,1.9,0.3,52,,,71,33,1,1,5000,11788,2934.6,2940.9,"Rare Event Detection Experiment",,,,1.09,0.64,,,,,,,1.49,0.66,,,61,42,
"B07",Rare Event Detection,"RED","AA210412S-",Ch1Unknown,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,3.3,0,0,1066,0,0,0,1066,0,1066,,,,,,,,,,,,,,,,,,1,1,5000,0,3333.9,3333.9,"Rare Event Detection Experiment",,,,1.5,0,,,,,,,,,,,,,
"B08",Rare Event Detection,"RED","AA210412S-",Ch1Unknown,"N1","Manual",1.05,One-Step RT-ddPCR Kit for Probes,21,,,1.61,0.63,18,20199,15,3,0,20199,0.873,20217,,,,,,,,1.2,,,2,0.4,55,,,72,37,1,1,5000,11034,2983.1,2990.3,"Rare Event Detection Experiment",,,,1.31,0.82,,,,,,,1.62,0.78,,,63,46,
"B09",Rare Event Detection,"RED","AA210419S-",Ch1Unknown,"N1","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.6,0.6,17,19156,16,1,0,19156,0.982,19173,,,,,,,,1.1,,,1.8,0.3,52,,,69,34,1,1,5000,10310,2850.7,2857.3,"Rare Event Detection Experiment",,,,1.32,0.81,,,,,,,1.43,0.69,,,60,43,
"B10",Rare Event Detection,"RED","AA210419S-",Ch1Unknown,"N1","Manual",0.9,One-Step RT-ddPCR Kit for Probes,18,,,1.6,0.4,9,11968,8,1,0,11968,0.786,11977,,,,,,,,1.1,,,2.2,0,53,,,77,29,1,1,5000,10511,2787,2792.8,"Rare Event Detection Experiment",,,,1.21,0.62,,,,,,,1.7,0.6,,,65,41,
"B11",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18713,0,0,0,18713,0,18713,,,,,,,,,,,,,,,,,,1,1,5000,0,2890,2890,"Rare Event Detection Experiment",,,,0.086,0,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","AA210403S",Ch1Unknown,"N1","Manual",1.7,One-Step RT-ddPCR Kit for Probes,34,,,2.7,1,17,11603,17,0,0,11603,1.72,11620,,,,,,,,1,,,1.7,0.3,50,,,67,33,1,1,5000,10671,2946.7,2958,"Rare Event Detection Experiment",,,,2.17,1.34,,,,,,,1.34,0.66,,,59,41,
