Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B03",Rare Event Detection,"RED","YC201202S 2X",Ch1Unknown,"N1","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.6,0.5,13,15802,13,0,0,15802,0.967,15815,,,,,,,,1,,,1.8,0.2,50,,,70,30,1,1,4775,13012,3520,3527.8,"Rare Event Detection Experiment",,,,1.26,0.72,,,,,,,1.39,0.61,,,60,40,
"B04",Rare Event Detection,"RED","YC201202S 2X",Ch1Unknown,"N1","Manual",1.4,One-Step RT-ddPCR Kit for Probes,28,,,2.2,0.8,16,13504,15,1,0,13504,1.31,13520,,,,,,,,1.1,,,1.8,0.3,52,,,69,34,1,1,4775,12030,3571.9,3581.9,"Rare Event Detection Experiment",,,,1.77,1.07,,,,,,,1.45,0.68,,,61,43,
"B05",Rare Event Detection,"RED","YC201202S 5X-",Ch1Unknown,"N1","Manual",5.5,One-Step RT-ddPCR Kit for Probes,110,,,6.9,4.3,70,15017,69,1,1,15016,5.39,15087,,,,,,,,1,,,1.33,0.67,50,,,58,42,1,1,5116,12595,3688.4,3729.7,"Rare Event Detection Experiment",,,,6.2,4.8,,,,,,,1.17,0.83,,,54.2,45.8,
"B06",Rare Event Detection,"RED","YC201202S 5X-",Ch1Unknown,"N1","Manual",5.5,One-Step RT-ddPCR Kit for Probes,110,,,6.9,4.3,71,15036,71,0,0,15036,5.54,15107,,,,,,,,1,,,1.33,0.67,50,,,58,42,1,1,4775,12894,3767.6,3810.4,"Rare Event Detection Experiment",,,,6.2,4.9,,,,,,,1.17,0.83,,,54.2,45.8,
"B07",Rare Event Detection,"RED","YC201202S 5X",Ch1Unknown,"N1","Manual",5.6,One-Step RT-ddPCR Kit for Probes,112,,,6.9,4.4,72,15225,71,1,0,15225,5.47,15297,,,,,,,,1.01,,,1.35,0.68,50,,,59,42,1,1,4775,12434,3694.6,3735.7,"Rare Event Detection Experiment",,,,6.2,4.9,,,,,,,1.18,0.84,,,54.5,46.2,
"B08",Rare Event Detection,"RED","YC201202S 5X",Ch1Unknown,"N1","Manual",5.1,One-Step RT-ddPCR Kit for Probes,102,,,6.4,4,72,16533,72,0,0,16533,5.11,16605,,,,,,,,1,,,1.33,0.67,50,,,58,42,1,1,4775,12609,3644.4,3683.3,"Rare Event Detection Experiment",,,,5.7,4.5,,,,,,,1.17,0.83,,,54.2,45.8,
"B09",Rare Event Detection,"RED","POS 210130 1",Ch1Positive Control,"N1","Manual",56.4,One-Step RT-ddPCR Kit for Probes,1128,,,60.5,52.3,721,14677,689,32,0,14677,53.9,15398,,,,,,,,,,,,,,,,,,1,1,4775,18769,3438.2,4156.1,"Rare Event Detection Experiment",,,,58.5,54.3,,,,,,,,,,,,,
"B10",Rare Event Detection,"RED","NEG 210130 2",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,16427,0,0,0,16427,0,16427,,,,,,,,,,,,,,,,,,1,1,4775,0,3423.7,3423.7,"Rare Event Detection Experiment",,,,0.098,0,,,,,,,,,,,,,
"B11",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.24,0,0,14619,0,0,0,14619,0,14619,,,,,,,,,,,,,,,,,,1,1,4775,0,3390.8,3390.8,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","YC201203S 2X-",Ch1Unknown,"N1","Manual",0.9,One-Step RT-ddPCR Kit for Probes,18,,,1.5,0.4,10,13433,10,0,0,13433,0.875,13443,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,4775,12624,3341.8,3348.7,"Rare Event Detection Experiment",,,,1.18,0.63,,,,,,,1.45,0.55,,,61,39,
