Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","AA210503S",Ch1Unknown,"N1","Manual",0.62,One-Step RT-ddPCR Kit for Probes,12.4,,,1.2,0.41,7,13372,7,0,0,13372,0.616,13379,,,,,,,,1,,,2.1,0,50,,,77,23,1,1,6649,10072,2405.6,2409.6,"Rare Event Detection Experiment",,,,0.88,0,,,,,,,1.5,0.5,,,64,36,
"B01",Rare Event Detection,"RED","AA210504S",Ch1Unknown,"N1","Manual",0.69,One-Step RT-ddPCR Kit for Probes,13.8,,,1.19,0.5,11,18760,11,0,0,18760,0.69,18771,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,6649,10099,2500.4,2504.9,"Rare Event Detection Experiment",,,,0.92,0,,,,,,,1.43,0.57,,,61,39,
"C01",Rare Event Detection,"RED","AA210505S",Ch1Unknown,"N1","Manual",0.73,One-Step RT-ddPCR Kit for Probes,14.6,,,1.26,0.53,11,17649,11,0,0,17649,0.733,17660,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,6649,10213,2474,2478.8,"Rare Event Detection Experiment",,,,0.98,0,,,,,,,1.43,0.57,,,61,39,
"D01",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18669,0,0,0,18669,0,18669,,,,,,,,,,,,,,,,,,1,1,6649,0,2312.5,2312.5,"Rare Event Detection Experiment",,,,0.086,0,,,,,,,,,,,,,
"E01",Rare Event Detection,"RED","AA210507S",Ch1Unknown,"N1","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.8,0.8,11,12503,11,0,0,12503,1.03,12514,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,6649,10940,2392.6,2400.1,"Rare Event Detection Experiment",,,,1.4,0,,,,,,,1.43,0.57,,,61,39,
"F01",Rare Event Detection,"RED","AA210508S",Ch1Unknown,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,3.2,0,0,1104,0,0,0,1104,0,1104,,,,,,,,,,,,,,,,,,1,1,6649,0,1452.9,1452.9,"Rare Event Detection Experiment",,,,1.5,0,,,,,,,,,,,,,
"G01",Rare Event Detection,"RED","AA210509S",Ch1Unknown,"N1","Manual",0.65,One-Step RT-ddPCR Kit for Probes,13,,,1.26,0.43,7,12755,7,0,0,12755,0.645,12762,,,,,,,,1,,,2.1,0,50,,,77,23,1,1,6649,10698,2467.8,2472.3,"Rare Event Detection Experiment",,,,0.92,0,,,,,,,1.5,0.5,,,64,36,
"H01",Rare Event Detection,"RED","AA210510S",Ch1Unknown,"N1","Manual",0.5,One-Step RT-ddPCR Kit for Probes,10,,,0.97,0.33,7,16508,7,0,0,16508,0.499,16515,,,,,,,,1,,,2.1,0,50,,,77,23,1,1,6649,10026,2460.2,2463.4,"Rare Event Detection Experiment",,,,0.71,0,,,,,,,1.5,0.5,,,64,36,
"A02",Rare Event Detection,"RED","AA210503S",Ch1Unknown,"N1","Manual",0.5,One-Step RT-ddPCR Kit for Probes,10,,,1.6,0.2,2,4710,1,1,2,4708,0.25,4712,,,,,,,,0.7,,,2,0,40,,,87,0,1,1,6649,9381.7,2409,2412,"Rare Event Detection Experiment",,,,0.96,0,,,,,,,1.3,0,,,63,17,
"B02",Rare Event Detection,"RED","AA210504S",Ch1Unknown,"N1","Manual",0.69,One-Step RT-ddPCR Kit for Probes,13.8,,,1.29,0.47,8,13667,8,0,0,13667,0.688,13675,,,,,,,,1,,,2,0,50,,,75,25,1,1,6649,10597,2511.7,2516.4,"Rare Event Detection Experiment",,,,0.96,0,,,,,,,1.5,0.5,,,63,37,
"C02",Rare Event Detection,"RED","AA210505S",Ch1Unknown,"N1","Manual",0.71,One-Step RT-ddPCR Kit for Probes,14.2,,,1.26,0.51,10,16497,9,1,0,16497,0.642,16507,,,,,,,,1.1,,,2.1,0.1,53,,,76,30,1,1,6649,10983,2505.7,2510.8,"Rare Event Detection Experiment",,,,0.96,0,,,,,,,1.6,0.6,,,64,41,
"D02",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.22,0,0,16346,0,0,0,16346,0,16346,,,,,,,,,,,,,,,,,,1,1,6649,0,2294.3,2294.3,"Rare Event Detection Experiment",,,,0.099,0,,,,,,,,,,,,,
"E02",Rare Event Detection,"RED","AA210507S",Ch1Unknown,"N1","Manual",0.65,One-Step RT-ddPCR Kit for Probes,13,,,1.19,0.46,9,16171,7,2,0,16171,0.509,16180,,,,,,,,1.3,,,2.6,0,56,,,81,31,1,1,6649,10186,2477.8,2482.1,"Rare Event Detection Experiment",,,,0.9,0,,,,,,,1.9,0.6,,,69,44,
"F02",Rare Event Detection,"RED","AA210508S",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,718,0,0,0,718,0,718,,,,,,,,,,,,,,,,,,1,1,6649,0,1613.1,1613.1,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"G02",Rare Event Detection,"RED","AA210509S",Ch1Unknown,"N1","Manual",0.67,One-Step RT-ddPCR Kit for Probes,13.4,,,1.26,0.46,8,14023,8,0,0,14023,0.671,14031,,,,,,,,1,,,2,0,50,,,75,25,1,1,6649,9954.6,2460.9,2465.2,"Rare Event Detection Experiment",,,,0.94,0,,,,,,,1.5,0.5,,,63,37,
"H02",Rare Event Detection,"RED","AA210510S",Ch1Unknown,"N1","Manual",0.52,One-Step RT-ddPCR Kit for Probes,10.4,,,1.02,0.35,7,15721,7,0,2,15719,0.524,15728,,,,,,,,0.8,,,1.6,0,44,,,69,19,1,1,6649,11814,2488.9,2493,"Rare Event Detection Experiment",,,,0.75,0,,,,,,,1.17,0.38,,,56,31,
"A03",Rare Event Detection,"RED","AA210503S-",Ch1Unknown,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,1.3,0,0,2810,0,0,0,2810,0,2810,,,,,,,,,,,,,,,,,,1,1,6649,0,1564.8,1564.8,"Rare Event Detection Experiment",,,,0.57,0,,,,,,,,,,,,,
"B03",Rare Event Detection,"RED","AA210504S-",Ch1Unknown,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,3.1,0,0,1157,0,0,0,1157,0,1157,,,,,,,,,,,,,,,,,,1,1,6649,0,2300.7,2300.7,"Rare Event Detection Experiment",,,,1.4,0,,,,,,,,,,,,,
"C03",Rare Event Detection,"RED","AA210505S-",Ch1Unknown,"N1","Manual",0.59,One-Step RT-ddPCR Kit for Probes,11.8,,,1.1,0.4,8,16042,8,0,1,16041,0.587,16050,,,,,,,,0.9,,,1.8,0,47,,,71,23,1,1,6649,10631,2530.7,2534.7,"Rare Event Detection Experiment",,,,0.82,0,,,,,,,1.32,0.45,,,59,35,
"D03",Rare Event Detection,"RED","AA210506S-",Ch1Unknown,"N1","Manual",0.89,One-Step RT-ddPCR Kit for Probes,17.8,,,1.43,0.68,15,19787,15,0,3,19784,0.892,19802,,,,,,,,0.8,,,1.4,0.3,45,,,63,28,1,1,6649,9742.3,2512.2,2517.7,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,1.13,0.54,,,54,37,
"E03",Rare Event Detection,"RED","AA210507S-",Ch1Unknown,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,2,0,0,1728,0,0,0,1728,0,1728,,,,,,,,,,,,,,,,,,1,1,6649,0,1726.7,1726.7,"Rare Event Detection Experiment",,,,0.93,0,,,,,,,,,,,,,
"F03",Rare Event Detection,"RED","AA210508S-",Ch1Unknown,"N1","Manual",0.95,One-Step RT-ddPCR Kit for Probes,19,,,1.59,0.7,12,14918,11,1,0,14918,0.867,14930,,,,,,,,1.1,,,2,0.2,52,,,73,31,1,1,6649,10943,2517.4,2524.1,"Rare Event Detection Experiment",,,,1.2,0,,,,,,,1.55,0.63,,,63,42,
"G03",Rare Event Detection,"RED","AA210509S-",Ch1Unknown,"N1","Manual",0.71,One-Step RT-ddPCR Kit for Probes,14.2,,,1.29,0.5,9,14917,9,0,1,14916,0.71,14926,,,,,,,,0.9,,,1.7,0.1,47,,,70,24,1,1,6649,10255,2501.4,2506.1,"Rare Event Detection Experiment",,,,0.97,0,,,,,,,1.32,0.48,,,59,36,
"H03",Rare Event Detection,"RED","AA210510S-",Ch1Unknown,"N1","Manual",0.85,One-Step RT-ddPCR Kit for Probes,17,,,1.51,0.61,10,13767,10,0,0,13767,0.854,13777,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,6649,11039,2465,2471.2,"Rare Event Detection Experiment",,,,1.2,0,,,,,,,1.45,0.55,,,61,39,
"A04",Rare Event Detection,"RED","AA210503S-",Ch1Unknown,"N1","Manual",0.7,One-Step RT-ddPCR Kit for Probes,14,,,1.5,0.5,6,9492,4,2,1,9491,0.496,9498,,,,,,,,1.2,,,2.7,0,55,,,85,24,1,1,6649,8899.1,2289.3,2293.5,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,1.9,0.5,,,70,39,
"B04",Rare Event Detection,"RED","AA210504S-",Ch1Unknown,"N1","Manual",1.03,One-Step RT-ddPCR Kit for Probes,20.6,,,1.67,0.78,14,16023,14,0,1,16022,1.03,16037,,,,,,,,0.9,,,1.6,0.2,48,,,67,30,1,1,6649,9540,2457.6,2463.8,"Rare Event Detection Experiment",,,,1.3,0,,,,,,,1.28,0.59,,,58,39,
