Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"F02",Rare Event Detection,"RED","26YC201228S",Ch1Unknown,"N1","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.9,1.9,30,12681,30,0,0,12681,2.78,12711,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,8015,12675,3914.1,3934.7,"Rare Event Detection Experiment",,,,3.3,2.3,,,,,,,1.26,0.74,,,56,44,
"G02",Rare Event Detection,"RED","26YC201229S",Ch1Unknown,"N1","Manual",1.4,One-Step RT-ddPCR Kit for Probes,28,,,2.1,0.9,23,18837,23,0,0,18837,1.44,18860,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,8015,13208,3851,3862.4,"Rare Event Detection Experiment",,,,1.76,1.16,,,,,,,1.29,0.71,,,57,43,
"H02",Rare Event Detection,"RED","26YC201230S",Ch1Unknown,"N1","Manual",2,One-Step RT-ddPCR Kit for Probes,40,,,2.8,1.4,30,17439,30,0,0,17439,2.02,17469,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,8015,12147,3619.5,3634.2,"Rare Event Detection Experiment",,,,2.41,1.68,,,,,,,1.26,0.74,,,56,44,
"A03",Rare Event Detection,"RED","26YC201217S-",Ch1Unknown,"N1","Manual",4.9,One-Step RT-ddPCR Kit for Probes,98,,,6.2,3.8,66,15878,66,0,0,15878,4.88,15944,,,,,,,,1,,,1.34,0.66,50,,,59,41,1,1,8015,13463,3805.6,3845.5,"Rare Event Detection Experiment",,,,5.5,4.3,,,,,,,1.17,0.83,,,54.3,45.7,
"B03",Rare Event Detection,"RED","26YC201218S-",Ch1Unknown,"N1","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.9,2.1,44,17692,44,0,0,17692,2.92,17736,,,,,,,,1,,,1.42,0.58,50,,,61,39,1,1,8015,12919,3834.8,3857.4,"Rare Event Detection Experiment",,,,3.38,2.5,,,,,,,1.21,0.79,,,55,45,
"C03",Rare Event Detection,"RED","26YC201221S-",Ch1Unknown,"N1","Manual",3.3,One-Step RT-ddPCR Kit for Probes,66,,,4.5,2.4,41,14442,41,0,0,14442,3.34,14483,,,,,,,,1,,,1.44,0.56,50,,,61,39,1,1,8015,12777,3760.7,3786.2,"Rare Event Detection Experiment",,,,3.9,2.8,,,,,,,1.22,0.78,,,56,44,
"D03",Rare Event Detection,"RED","26YC201222S-",Ch1Unknown,"N1","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.6,2.4,38,13086,37,1,2,13084,3.32,13124,,,,,,,,0.97,,,1.41,0.54,49,,,61,38,1,1,8015,12967,3702.1,3728.9,"Rare Event Detection Experiment",,,,4,2.9,,,,,,,1.2,0.75,,,55,44,
"E03",Rare Event Detection,"RED","26YC201223S-",Ch1Unknown,"N1","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.7,1.9,32,13975,30,2,1,13974,2.52,14007,,,,,,,,1,,,1.5,0.5,51,,,63,38,1,1,8015,12921,3893.3,3913.9,"Rare Event Detection Experiment",,,,3.19,2.24,,,,,,,1.29,0.77,,,57,45,
"F03",Rare Event Detection,"RED","26YC201228S-",Ch1Unknown,"N1","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,2.5,1.2,28,18717,28,0,0,18717,1.76,18745,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,8015,12638,3692.8,3706.2,"Rare Event Detection Experiment",,,,2.11,1.45,,,,,,,1.27,0.73,,,57,43,
"G03",Rare Event Detection,"RED","26YC201229S-",Ch1Unknown,"N1","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,2.5,1.2,29,19209,28,1,1,19208,1.71,19238,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,8015,13109,3749.5,3763.6,"Rare Event Detection Experiment",,,,2.12,1.47,,,,,,,1.26,0.74,,,57,43,
