Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","AA201101S5",Ch1Unknown,"N1","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.5,2.2,35,16080,35,0,0,16080,2.56,16115,,,,,,,,1,,,1.47,0.53,50,,,62,38,1,1,6929,12842,3369.9,3390.4,"Rare Event Detection Experiment",,,,3,0,,,,,,,1.24,0.76,,,56,44,
"B01",Rare Event Detection,"RED","AA201102S5",Ch1Unknown,"N1","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.2,1.2,21,16485,21,0,0,16485,1.5,16506,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,6929,12993,3420.5,3432.7,"Rare Event Detection Experiment",,,,1.8,0,,,,,,,1.31,0.69,,,58,42,
"C01",Rare Event Detection,"RED","AA201201S5",Ch1Unknown,"N1","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.8,2.4,36,15161,35,1,0,15161,2.71,15197,,,,,,,,1.03,,,1.51,0.55,51,,,62,39,1,1,6929,12723,3436.1,3458.1,"Rare Event Detection Experiment",,,,3.3,0,,,,,,,1.27,0.78,,,57,45,
"D01",Rare Event Detection,"RED","AA201202S5",Ch1Unknown,"N1","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.2,1.9,32,16556,32,0,0,16556,2.27,16588,,,,,,,,1,,,1.49,0.51,50,,,62,38,1,1,6929,12592,3423.3,3441,"Rare Event Detection Experiment",,,,2.7,0,,,,,,,1.25,0.75,,,56,44,
"E01",Rare Event Detection,"RED","AA201101S10",Ch1Unknown,"N1","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,3.1,1.3,12,7737,12,0,1,7736,1.82,7749,,,,,,,,0.9,,,1.7,0.2,48,,,68,28,1,1,6929,13253,3380.9,3396.2,"Rare Event Detection Experiment",,,,2.4,0,,,,,,,1.29,0.55,,,58,38,
"F01",Rare Event Detection,"RED","AA201102S10",Ch1Unknown,"N1","Manual",1.6,One-Step RT-ddPCR Kit for Probes,32,,,2.6,1.2,13,9798,12,1,0,9798,1.44,9811,,,,,,,,1.1,,,1.9,0.2,52,,,72,32,1,1,6929,12207,3151.5,3163.5,"Rare Event Detection Experiment",,,,2,0,,,,,,,1.52,0.65,,,62,42,
"G01",Rare Event Detection,"RED","AA201201S10",Ch1Unknown,"N1","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.7,2.3,40,17129,39,1,1,17128,2.68,17169,,,,,,,,1,,,1.44,0.56,50,,,61,39,1,1,6929,12386,3361,3382,"Rare Event Detection Experiment",,,,3.2,0,,,,,,,1.22,0.78,,,56,44,
"H01",Rare Event Detection,"RED","AA201202S10",Ch1Unknown,"N1","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.5,2.2,39,17799,38,1,0,17799,2.51,17838,,,,,,,,1.03,,,1.49,0.56,51,,,62,39,1,1,6929,12501,3447.2,3467,"Rare Event Detection Experiment",,,,3,0,,,,,,,1.26,0.79,,,56,45,
"A02",Rare Event Detection,"RED","AA201101S5",Ch1Unknown,"N1","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,4.2,2.4,27,10667,27,0,0,10667,2.97,10694,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,6929,12685,3417.8,3441.2,"Rare Event Detection Experiment",,,,3.6,0,,,,,,,1.27,0.73,,,57,43,
"B02",Rare Event Detection,"RED","AA201102S5",Ch1Unknown,"N1","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.2,1.9,27,13971,27,0,0,13971,2.27,13998,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,6929,13240,3354,3373,"Rare Event Detection Experiment",,,,2.7,0,,,,,,,1.27,0.73,,,57,43,
