Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC201207S",Ch1Unknown,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.22,0,0,16063,0,0,0,16063,0,16063,,,,,,,,,,,,,,,,,,1,1,7495,0,3372.4,3372.4,"Rare Event Detection Experiment",,,,0.1,0,,,,,,,,,,,,,
"A02",Rare Event Detection,"RED","YC201207S",Ch1Unknown,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.23,0,0,15293,0,0,0,15293,0,15293,,,,,,,,,,,,,,,,,,1,1,7495,0,3515.2,3515.2,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"A03",Rare Event Detection,"RED","YC201207S-",Ch1Unknown,"N1","Manual",5,One-Step RT-ddPCR Kit for Probes,100,,,6.3,3.9,69,16107,68,1,0,16107,4.96,16176,,,,,,,,1.01,,,1.36,0.67,50,,,59,42,1,1,7495,12899,3625.3,3664.8,"Rare Event Detection Experiment",,,,5.7,4.4,,,,,,,1.19,0.84,,,54.6,46.1,
"A04",Rare Event Detection,"RED","YC201207S-",Ch1Unknown,"N1","Manual",4.8,One-Step RT-ddPCR Kit for Probes,96,,,6,3.8,74,17951,73,1,1,17950,4.77,18025,,,,,,,,1,,,1.32,0.68,50,,,58,42,1,1,7495,13439,4124.9,4163.2,"Rare Event Detection Experiment",,,,5.4,4.3,,,,,,,1.16,0.84,,,54.1,45.9,
"A05",Rare Event Detection,"RED","YC210119S",Ch1Unknown,"N1","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.3,1.5,26,13142,26,0,4,13138,2.33,13168,,,,,,,,0.87,,,1.33,0.41,46,,,60,33,1,1,7495,12459,3606.4,3623.9,"Rare Event Detection Experiment",,,,2.81,1.9,,,,,,,1.1,0.63,,,53,40,
"A06",Rare Event Detection,"RED","YC210119S",Ch1Unknown,"N1","Manual",1.9,One-Step RT-ddPCR Kit for Probes,38,,,2.8,1.3,27,16415,27,0,0,16415,1.93,16442,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,7495,13085,3836.6,3851.7,"Rare Event Detection Experiment",,,,2.33,1.59,,,,,,,1.27,0.73,,,57,43,
"A07",Rare Event Detection,"RED","YC210119S-",Ch1Unknown,"N1","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.7,1.8,28,12500,28,0,5,12495,2.63,12528,,,,,,,,0.85,,,1.28,0.42,46,,,58,33,1,1,7495,13312,3923.7,3944.7,"Rare Event Detection Experiment",,,,3.16,2.17,,,,,,,1.07,0.63,,,52,40,
"A08",Rare Event Detection,"RED","YC210119S-",Ch1Unknown,"N1","Manual",1.4,One-Step RT-ddPCR Kit for Probes,28,,,2.1,0.9,22,18326,22,0,2,18324,1.41,18348,,,,,,,,0.9,,,1.5,0.4,48,,,62,33,1,1,7495,14130,4208,4219.9,"Rare Event Detection Experiment",,,,1.73,1.13,,,,,,,1.19,0.65,,,55,40,
"A09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"N1","Manual",69.6,One-Step RT-ddPCR Kit for Probes,1392,,,74,65.3,984,16139,977,7,3,16136,69.1,17123,,,,,,,,,,,,,,,,,,1,1,7495,19684,3344.2,4283.2,"Rare Event Detection Experiment",,,,71.9,67.4,,,,,,,,,,,,,
"A10",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19788,0,0,0,19788,0,19788,,,,,,,,,,,,,,,,,,1,1,7495,0,3412,3412,"Rare Event Detection Experiment",,,,0.081,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC201208S",Ch1Unknown,"N1","Manual",4.7,One-Step RT-ddPCR Kit for Probes,94,,,5.9,3.6,68,17089,68,0,0,17089,4.67,17157,,,,,,,,1,,,1.34,0.66,50,,,58,42,1,1,7495,13495,3950.2,3988.1,"Rare Event Detection Experiment",,,,5.3,4.1,,,,,,,1.17,0.83,,,54.3,45.7,
"B02",Rare Event Detection,"RED","YC201208S",Ch1Unknown,"N1","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.8,2.7,47,14986,47,0,1,14985,3.68,15033,,,,,,,,0.98,,,1.38,0.58,49,,,60,39,1,1,7495,13360,3975,4004.4,"Rare Event Detection Experiment",,,,4.2,3.2,,,,,,,1.18,0.78,,,55,44,
