Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B04",Rare Event Detection,"RED","YC201208S-",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4,2.3,53,20171,5,48,1155,19016,0.121,20224,,,,,,,,0.044,,,0.057,0.032,4.3,,,5.4,3.1,1,1,5446,10383,2323.1,2344.3,"Rare Event Detection Experiment",,,,3.53,2.68,,,,,,,0.051,0.038,,,4.8,3.7,
"B05",Rare Event Detection,"RED","YC210120S",Ch1Unknown,"BCoV","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.3,1.6,31,15305,1,30,608,14697,0,15336,,,,,,,,0.05,,,0.068,0.032,4.8,,,6.4,3.1,1,1,5446,10003,2219.3,2235.1,"Rare Event Detection Experiment",,,,2.83,1.98,,,,,,,0.059,0.041,,,5.6,3.9,
"B06",Rare Event Detection,"RED","YC210120S",Ch1Unknown,"BCoV","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.6,1.9,40,17566,1,39,743,16823,0,17606,,,,,,,,0.053,,,0.07,0.036,5,,,6.5,3.5,1,1,5446,10277,2271.7,2289.9,"Rare Event Detection Experiment",,,,3.12,2.28,,,,,,,0.061,0.044,,,5.8,4.2,
"B07",Rare Event Detection,"RED","YC210120S-",Ch1Unknown,"BCoV","Manual",2.2,One-Step RT-ddPCR Kit for Probes,44,,,3,1.6,36,19104,2,34,863,18241,0.0241,19140,,,,,,,,0.041,,,0.054,0.027,3.9,,,5.2,2.7,1,1,5446,9915.4,2235.5,2250,"Rare Event Detection Experiment",,,,2.6,1.87,,,,,,,0.048,0.034,,,4.6,3.3,
"B08",Rare Event Detection,"RED","YC210120S-",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,4,2.3,48,18523,0,48,842,17681,0,18571,,,,,,,,0.056,,,0.072,0.039,5.3,,,6.7,3.8,1,1,5446,10489,2340.4,2361.5,"Rare Event Detection Experiment",,,,3.5,2.63,,,,,,,0.064,0.048,,,6,4.5,
"B09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,17173,0,0,17173,0,0,17173,,,,,,,,,,,,,,,,,,1,1,5446,0,2347.3,2347.3,"Rare Event Detection Experiment",,,,0.094,0,,,,,,,,,,,,,
"B10",Rare Event Detection,"RED","BCoV 1",Ch1Positive Control,"BCoV","Manual",2462,One-Step RT-ddPCR Kit for Probes,49240,,,2509,2417,15799,2223,3,15796,0,2223,0.196,18022,,,,,,,,,,,,,,,,,,1,1,5446,10549,2319.6,9534.1,"Rare Event Detection Experiment",,,,2486,2439,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","YC210104S",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,5.2,2.9,45,13548,2,43,597,12951,0.00154,13593,,,,,,,,0.074,,,0.096,0.051,6.9,,,8.8,4.9,1,1,5446,10553,2290.6,2318,"Rare Event Detection Experiment",,,,4.5,3.3,,,,,,,0.085,0.062,,,7.8,5.9,
"C02",Rare Event Detection,"RED","YC210104S",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,4,2.2,46,17912,1,45,828,17084,0,17958,,,,,,,,0.054,,,0.07,0.038,5.1,,,6.6,3.7,1,1,5446,10724,2418.6,2439.9,"Rare Event Detection Experiment",,,,3.48,2.6,,,,,,,0.062,0.046,,,5.9,4.4,
"C03",Rare Event Detection,"RED","YC210104S-",Ch1Unknown,"BCoV","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.7,1.9,38,16497,4,34,680,15817,0.181,16535,,,,,,,,0.054,,,0.072,0.037,5.2,,,6.8,3.6,1,1,5446,10618,2348.6,2367.6,"Rare Event Detection Experiment",,,,3.17,2.29,,,,,,,0.064,0.045,,,6,4.3,
