Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","26YC201026S",Ch1Unknown,"BCoV","Manual",3.8,One-Step RT-ddPCR Kit for Probes,76,,,4.9,2.8,51,15766,4,47,740,15026,0.125,15817,,,,,,,,0.067,,,0.086,0.048,6.3,,,8,4.6,1,1,5932,9306.9,2649.9,2671.3,"Rare Event Detection Experiment",,,,4.4,3.3,,,,,,,0.077,0.057,,,7.1,5.4,
"A02",Rare Event Detection,"RED","26YC201026S",Ch1Unknown,"BCoV","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.8,2.8,56,17754,4,52,897,16857,0.0814,17810,,,,,,,,0.061,,,0.077,0.044,5.7,,,7.2,4.3,1,1,5932,9248.3,2629.6,2650.4,"Rare Event Detection Experiment",,,,4.22,3.23,,,,,,,0.069,0.052,,,6.5,5,
"A03",Rare Event Detection,"RED","26YC201026S-",Ch1Unknown,"BCoV","Manual",4.4,One-Step RT-ddPCR Kit for Probes,88,,,5.6,3.4,66,17490,1,65,772,16718,0,17556,,,,,,,,0.084,,,0.105,0.063,7.7,,,9.5,5.9,1,1,5932,9250.7,2653.4,2678.2,"Rare Event Detection Experiment",,,,5,3.9,,,,,,,0.094,0.073,,,8.6,6.8,
"A04",Rare Event Detection,"RED","26YC201026S-",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.6,52,17362,0,52,764,16598,0,17414,,,,,,,,0.067,,,0.085,0.048,6.2,,,7.9,4.6,1,1,5932,9178.3,2704.8,2724.1,"Rare Event Detection Experiment",,,,4.03,3.05,,,,,,,0.076,0.057,,,7.1,5.4,
"A05",Rare Event Detection,"RED","26YC201113S",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,17180,0,0,1,17179,0,17180,,,,,,,,,,,,,,,,,,1,1,5932,0,2668.4,2668.4,"Rare Event Detection Experiment",,,,0.094,0,,,,,,,,,,,,,
"A06",Rare Event Detection,"RED","26YC201113S",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,17154,0,0,3,17151,0,17154,,,,,,,,,,,,,,,,,,1,1,5932,0,2755.4,2755.4,"Rare Event Detection Experiment",,,,0.094,0,,,,,,,,,,,,,
"A07",Rare Event Detection,"RED","26YC201113S-",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,20103,0,0,0,20103,0,20103,,,,,,,,,,,,,,,,,,1,1,5932,0,2585.6,2585.6,"Rare Event Detection Experiment",,,,0.08,0,,,,,,,,,,,,,
"A08",Rare Event Detection,"RED","26YC201113S-",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18882,0,0,0,18882,0,18882,,,,,,,,,,,,,,,,,,1,1,5932,0,2659.1,2659.1,"Rare Event Detection Experiment",,,,0.085,0,,,,,,,,,,,,,
"A09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",7.7,One-Step RT-ddPCR Kit for Probes,154,,,9.1,6.3,116,17713,116,0,17713,0,0,17829,,,,,,,,,,,,,,,,,,1,1,5932,9811,2655.4,2702,"Rare Event Detection Experiment",,,,8.4,7,,,,,,,,,,,,,
"A10",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0.13,One-Step RT-ddPCR Kit for Probes,2.6,,,0.41,0.02,2,18362,0,2,13,18349,0,18364,,,,,,,,,,,,,,,,,,1,1,5932,9319.6,2752.4,2753.1,"Rare Event Detection Experiment",,,,0.25,0.06,,,,,,,,,,,,,
