Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","AA201101S5",Ch1Unknown,"BCoV","Manual",5.2,One-Step RT-ddPCR Kit for Probes,104,,,6.6,4.1,71,15900,11,60,1495,14405,0.352,15971,,,,,,,,0.045,,,0.056,0.034,4.3,,,5.3,3.3,1,1,5719,9356.4,2704.1,2733.7,"Rare Event Detection Experiment",,,,5.9,4.6,,,,,,,0.05,0.04,,,4.8,3.81,
"B01",Rare Event Detection,"RED","AA201102S5",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.3,3.1,57,16270,1,56,1135,15135,0,16327,,,,,,,,0.048,,,0.061,0.036,4.6,,,5.8,3.4,1,1,5719,9339.5,2781.9,2804.8,"Rare Event Detection Experiment",,,,4.7,3.6,,,,,,,0.055,0.042,,,5.2,4,
"C01",Rare Event Detection,"RED","AA201201S5",Ch1Unknown,"BCoV","Manual",4.3,One-Step RT-ddPCR Kit for Probes,86,,,5.5,3.3,64,17455,5,59,1007,16448,0.0932,17519,,,,,,,,0.062,,,0.077,0.046,5.8,,,7.2,4.4,1,1,5719,9418.9,2787,2811.2,"Rare Event Detection Experiment",,,,4.9,3.8,,,,,,,0.069,0.054,,,6.5,5.1,
"D01",Rare Event Detection,"RED","AA201202S5",Ch1Unknown,"BCoV","Manual",4.9,One-Step RT-ddPCR Kit for Probes,98,,,6.1,3.8,66,15951,5,61,901,15050,0.099,16017,,,,,,,,0.071,,,0.089,0.053,6.6,,,8.2,5.1,1,1,5719,9614.7,2897.7,2925.3,"Rare Event Detection Experiment",,,,5.5,4.3,,,,,,,0.08,0.062,,,7.4,5.8,
"E01",Rare Event Detection,"RED","AA201101S10",Ch1Unknown,"BCoV","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.3,1.6,30,15111,1,29,1112,13999,0,15141,,,,,,,,0.026,,,0.035,0.016,2.5,,,3.4,1.6,1,1,5719,9469.5,2753.9,2767.2,"Rare Event Detection Experiment",,,,2.78,1.93,,,,,,,0.0308,0.0212,,,2.99,2.08,
"F01",Rare Event Detection,"RED","AA201102S10",Ch1Unknown,"BCoV","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.6,1.8,34,15321,3,31,923,14398,0.0776,15355,,,,,,,,0.036,,,0.048,0.023,3.4,,,4.6,2.3,1,1,5719,9625.6,2842.6,2857.6,"Rare Event Detection Experiment",,,,3.08,2.19,,,,,,,0.042,0.029,,,4,2.9,
"G01",Rare Event Detection,"RED","AA201201S10",Ch1Unknown,"BCoV","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.7,1.9,35,15091,2,33,804,14287,0.0111,15126,,,,,,,,0.042,,,0.057,0.028,4.1,,,5.4,2.7,1,1,5719,9460,2776.8,2792.3,"Rare Event Detection Experiment",,,,3.21,2.29,,,,,,,0.05,0.035,,,4.7,3.4,
"H01",Rare Event Detection,"RED","AA201202S10",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.6,46,15386,0,46,837,14549,0,15432,,,,,,,,0.054,,,0.07,0.038,5.1,,,6.5,3.6,1,1,5719,9112.5,2689.6,2708.7,"Rare Event Detection Experiment",,,,4.1,3,,,,,,,0.062,0.045,,,5.8,4.4,
"A02",Rare Event Detection,"RED","AA201101S5",Ch1Unknown,"BCoV","Manual",4.2,One-Step RT-ddPCR Kit for Probes,84,,,5.3,3.3,68,19018,9,59,1723,17295,0.192,19086,,,,,,,,0.038,,,0.047,0.028,3.6,,,4.5,2.8,1,1,5719,9276.4,2725.6,2749,"Rare Event Detection Experiment",,,,4.7,3.7,,,,,,,0.0421,0.0329,,,4.05,3.19,
"B02",Rare Event Detection,"RED","AA201102S5",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.5,2.5,47,16252,5,42,1151,15101,0.13,16299,,,,,,,,0.039,,,0.051,0.028,3.8,,,4.8,2.7,1,1,5719,9353,2736.2,2755.3,"Rare Event Detection Experiment",,,,3.92,2.93,,,,,,,0.045,0.033,,,4.3,3.2,
"C02",Rare Event Detection,"RED","AA201201S5",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.7,2.7,50,16233,4,46,868,15365,0.101,16283,,,,,,,,0.056,,,0.072,0.04,5.3,,,6.7,3.9,1,1,5719,9394.8,2755.8,2776.2,"Rare Event Detection Experiment",,,,4.2,3.1,,,,,,,0.064,0.048,,,6,4.6,
"D02",Rare Event Detection,"RED","AA201202S5",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.7,2.7,49,16019,3,46,892,15127,0.0211,16068,,,,,,,,0.053,,,0.069,0.038,5.1,,,6.4,3.7,1,1,5719,9426.6,2759.5,2779.8,"Rare Event Detection Experiment",,,,4.1,3.1,,,,,,,0.061,0.045,,,5.8,4.4,
"E02",Rare Event Detection,"RED","AA201101S10",Ch1Unknown,"BCoV","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.3,1.7,36,17266,2,34,1186,16080,0,17302,,,,,,,,0.029,,,0.039,0.02,2.8,,,3.8,1.9,1,1,5719,9326.4,2730.3,2744,"Rare Event Detection Experiment",,,,2.88,2.07,,,,,,,0.0342,0.0243,,,3.31,2.38,
"F02",Rare Event Detection,"RED","AA201102S10",Ch1Unknown,"BCoV","Manual",2.2,One-Step RT-ddPCR Kit for Probes,44,,,3.1,1.5,31,16209,1,30,943,15266,0,16240,,,,,,,,0.032,,,0.043,0.02,3.1,,,4.2,2,1,1,5719,9157.7,2690.8,2703.1,"Rare Event Detection Experiment",,,,2.68,1.87,,,,,,,0.038,0.026,,,3.6,2.5,
"G02",Rare Event Detection,"RED","AA201201S10",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.2,2.3,40,15046,6,34,803,14243,0.318,15086,,,,,,,,0.048,,,0.064,0.033,4.6,,,6,3.2,1,1,5719,9300.2,2754,2771.3,"Rare Event Detection Experiment",,,,3.64,2.66,,,,,,,0.056,0.04,,,5.3,3.9,
"H02",Rare Event Detection,"RED","AA201202S10",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.6,2.8,61,19993,3,58,1009,18984,0,20054,,,,,,,,0.059,,,0.074,0.044,5.6,,,6.9,4.2,1,1,5719,8987,2629.8,2649.1,"Rare Event Detection Experiment",,,,4.06,3.15,,,,,,,0.067,0.051,,,6.2,4.9,
"A03",Rare Event Detection,"RED","AA201101S5-",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.6,49,16321,9,40,1216,15105,0.415,16370,,,,,,,,0.039,,,0.05,0.027,3.7,,,4.7,2.7,1,1,5719,9396,2726.2,2746.2,"Rare Event Detection Experiment",,,,4.1,3,,,,,,,0.044,0.033,,,4.2,3.2,
"B03",Rare Event Detection,"RED","AA201102S5-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.8,2.1,41,16766,2,39,1239,15527,0,16807,,,,,,,,0.032,,,0.042,0.022,3.1,,,4,2.2,1,1,5719,9319.1,2807.5,2823.4,"Rare Event Detection Experiment",,,,3.34,2.45,,,,,,,0.037,0.027,,,3.56,2.61,
"C03",Rare Event Detection,"RED","AA201201S5-",Ch1Unknown,"BCoV","Manual",3.8,One-Step RT-ddPCR Kit for Probes,76,,,4.9,2.9,60,18336,4,56,1057,17279,0.0367,18396,,,,,,,,0.055,,,0.069,0.041,5.2,,,6.5,3.9,1,1,5719,9507.7,2814.1,2835.9,"Rare Event Detection Experiment",,,,4.36,3.37,,,,,,,0.062,0.048,,,5.9,4.6,
"D03",Rare Event Detection,"RED","AA201202S5-",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.2,2.3,44,16309,2,42,916,15393,0,16353,,,,,,,,0.047,,,0.061,0.032,4.5,,,5.8,3.2,1,1,5719,9608.6,2818.9,2837.2,"Rare Event Detection Experiment",,,,3.67,2.72,,,,,,,0.054,0.039,,,5.1,3.8,
"E03",Rare Event Detection,"RED","AA201101S10-",Ch1Unknown,"BCoV","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.7,0.6,14,15789,1,13,795,14994,0.0231,15803,,,,,,,,0.017,,,0.026,0.008,1.7,,,2.6,0.8,1,1,5719,9416.9,2814.7,2820.5,"Rare Event Detection Experiment",,,,1.35,0.79,,,,,,,0.0218,0.0125,,,2.13,1.24,
"F03",Rare Event Detection,"RED","AA201102S10-",Ch1Unknown,"BCoV","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.7,1.9,37,15938,1,36,820,15118,0,15975,,,,,,,,0.044,,,0.059,0.029,4.2,,,5.5,2.9,1,1,5719,9437.2,2843.7,2858.9,"Rare Event Detection Experiment",,,,3.2,2.3,,,,,,,0.051,0.037,,,4.9,3.5,
"G03",Rare Event Detection,"RED","AA201201S10-",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.1,2.2,39,14954,3,36,751,14203,0.086,14993,,,,,,,,0.05,,,0.067,0.034,4.8,,,6.3,3.3,1,1,5719,9404.9,2775.4,2792.6,"Rare Event Detection Experiment",,,,3.58,2.6,,,,,,,0.059,0.042,,,5.6,4.1,
"H03",Rare Event Detection,"RED","AA201202S10-",Ch1Unknown,"BCoV","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.7,1.9,36,15700,4,32,698,15002,0.188,15736,,,,,,,,0.05,,,0.067,0.033,4.8,,,6.3,3.2,1,1,5719,9407.9,2766.4,2781.6,"Rare Event Detection Experiment",,,,3.17,2.27,,,,,,,0.059,0.042,,,5.6,4,
"A04",Rare Event Detection,"RED","AA201101S5-",Ch1Unknown,"BCoV","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.8,2.8,55,17517,5,50,1380,16137,0.0485,17572,,,,,,,,0.038,,,0.049,0.028,3.7,,,4.6,2.7,1,1,5719,9351.1,2780.3,2800.9,"Rare Event Detection Experiment",,,,4.21,3.21,,,,,,,0.043,0.033,,,4.16,3.19,
"B04",Rare Event Detection,"RED","AA201102S5-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.5,2.6,50,17190,2,48,1235,15955,0,17240,,,,,,,,0.039,,,0.05,0.028,3.8,,,4.8,2.7,1,1,5719,9382.6,2810.5,2829.5,"Rare Event Detection Experiment",,,,3.92,2.96,,,,,,,0.045,0.033,,,4.3,3.2,
"C04",Rare Event Detection,"RED","AA201201S5-",Ch1Unknown,"BCoV","Manual",4.4,One-Step RT-ddPCR Kit for Probes,88,,,5.5,3.4,68,18112,5,63,1037,17075,0.076,18180,,,,,,,,0.063,,,0.079,0.048,6,,,7.4,4.6,1,1,5719,9413.9,2788.7,2813.5,"Rare Event Detection Experiment",,,,5,3.9,,,,,,,0.071,0.056,,,6.7,5.3,
"D04",Rare Event Detection,"RED","AA201202S5-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.5,2.5,47,16179,5,42,941,15238,0.174,16226,,,,,,,,0.048,,,0.063,0.034,4.6,,,5.9,3.3,1,1,5719,9464.4,2816.3,2835.5,"Rare Event Detection Experiment",,,,3.93,2.94,,,,,,,0.055,0.041,,,5.3,4,
"E04",Rare Event Detection,"RED","AA201101S10-",Ch1Unknown,"BCoV","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,2.7,1.2,23,14767,0,23,694,14073,0,14790,,,,,,,,0.032,,,0.046,0.019,3.1,,,4.4,1.9,1,1,5719,9373.8,2798.8,2809,"Rare Event Detection Experiment",,,,2.24,1.48,,,,,,,0.039,0.026,,,3.8,2.5,
"F04",Rare Event Detection,"RED","AA201102S10-",Ch1Unknown,"BCoV","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.6,1.9,37,16596,3,34,882,15714,0.0772,16633,,,,,,,,0.041,,,0.054,0.027,3.9,,,5.2,2.7,1,1,5719,9536,2818.4,2833.3,"Rare Event Detection Experiment",,,,3.07,2.21,,,,,,,0.048,0.034,,,4.5,3.3,
"G04",Rare Event Detection,"RED","AA201201S10-",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.2,2.3,45,16702,3,42,833,15869,0.0559,16747,,,,,,,,0.053,,,0.068,0.037,5,,,6.4,3.6,1,1,5719,9281.7,2801.3,2818.7,"Rare Event Detection Experiment",,,,3.66,2.72,,,,,,,0.061,0.045,,,5.7,4.3,
"H04",Rare Event Detection,"RED","AA201202S10-",Ch1Unknown,"BCoV","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.8,2,35,14748,1,34,666,14082,0,14783,,,,,,,,0.051,,,0.069,0.034,4.9,,,6.5,3.3,1,1,5719,9222.1,2670.2,2685.7,"Rare Event Detection Experiment",,,,3.29,2.34,,,,,,,0.06,0.042,,,5.7,4.1,
"A05",Rare Event Detection,"RED","AA201101S12",Ch1Unknown,"BCoV","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.8,2.1,44,18280,3,41,1010,17270,0.0387,18324,,,,,,,,0.042,,,0.055,0.029,4.1,,,5.2,2.9,1,1,5719,9119.3,2691.6,2707,"Rare Event Detection Experiment",,,,3.28,2.42,,,,,,,0.049,0.036,,,4.7,3.5,
"B05",Rare Event Detection,"RED","AA201102S12",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,4,2.2,45,17488,2,43,1313,16175,0,17533,,,,,,,,0.033,,,0.043,0.023,3.2,,,4.1,2.3,1,1,5719,9373.5,2792.5,2809.4,"Rare Event Detection Experiment",,,,3.5,2.6,,,,,,,0.038,0.028,,,3.66,2.72,
"C05",Rare Event Detection,"RED","AA201201S12",Ch1Unknown,"BCoV","Manual",4.5,One-Step RT-ddPCR Kit for Probes,90,,,5.7,3.4,61,16036,3,58,849,15187,0,16097,,,,,,,,0.07,,,0.088,0.052,6.5,,,8.1,4.9,1,1,5719,9449.4,2790.8,2816.1,"Rare Event Detection Experiment",,,,5.1,3.9,,,,,,,0.079,0.061,,,7.3,5.7,
"D05",Rare Event Detection,"RED","AA201202S12",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.5,2.6,48,16263,2,46,906,15357,0,16311,,,,,,,,0.051,,,0.066,0.036,4.9,,,6.3,3.5,1,1,5719,9412.8,2824.4,2843.8,"Rare Event Detection Experiment",,,,3.99,2.99,,,,,,,0.059,0.044,,,5.6,4.2,
"E05",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",5.9,One-Step RT-ddPCR Kit for Probes,118,,,7.4,4.6,69,13812,69,0,13812,0,0,13881,,,,,,,,,,,,,,,,,,1,1,5719,9848.1,2801.9,2836.9,"Rare Event Detection Experiment",,,,6.6,5.2,,,,,,,,,,,,,
"F05",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",6.9,One-Step RT-ddPCR Kit for Probes,138,,,8.5,5.5,85,14480,85,0,14480,0,0,14565,,,,,,,,,,,,,,,,,,1,1,5719,10008,2818.9,2860.9,"Rare Event Detection Experiment",,,,7.7,6.2,,,,,,,,,,,,,
"G05",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"BCoV","Manual",6.7,One-Step RT-ddPCR Kit for Probes,134,,,8.1,5.5,99,17347,99,0,17347,0,0,17446,,,,,,,,,,,,,,,,,,1,1,5719,10227,2825.5,2867.5,"Rare Event Detection Experiment",,,,7.4,6,,,,,,,,,,,,,
