Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C04",Rare Event Detection,"RED","YC210325S-",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.6,49,16488,0,49,366,16122,0,16537,,,,,,,,0.133,,,0.172,0.093,11.7,,,14.8,8.6,1,1,5851,9271.4,2788.1,2807.3,"Rare Event Detection Experiment",,,,4.01,3.02,,,,,,,0.153,0.112,,,13.3,10.1,
"D01",Rare Event Detection,"RED","YC210326S",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,16567,0,0,0,16567,0,16567,,,,,,,,,,,,,,,,,,1,1,5851,0,2829.1,2829.1,"Rare Event Detection Experiment",,,,0.097,0,,,,,,,,,,,,,
"D02",Rare Event Detection,"RED","YC210326S",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17766,0,0,5,17761,0,17766,,,,,,,,,,,,,,,,,,1,1,5851,0,2861.4,2861.4,"Rare Event Detection Experiment",,,,0.091,0,,,,,,,,,,,,,
"D03",Rare Event Detection,"RED","YC210326S-",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.1,2.3,47,17791,1,46,548,17243,0,17838,,,,,,,,0.084,,,0.11,0.059,7.8,,,9.9,5.6,1,1,5851,9421,2775.5,2793,"Rare Event Detection Experiment",,,,3.58,2.67,,,,,,,0.097,0.072,,,8.9,6.7,
"D04",Rare Event Detection,"RED","YC210326S-",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.7,2.7,51,16512,2,49,478,16034,0.0383,16563,,,,,,,,0.105,,,0.135,0.074,9.5,,,12,7,1,1,5851,9394,2784.8,2805.2,"Rare Event Detection Experiment",,,,4.2,3.1,,,,,,,0.12,0.089,,,10.8,8.2,
"E01",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",9.3,One-Step RT-ddPCR Kit for Probes,186,,,10.9,7.8,138,17328,138,0,17328,0,0,17466,,,,,,,,,,,,,,,,,,1,1,5851,10045,2852.8,2909.6,"Rare Event Detection Experiment",,,,10.1,8.5,,,,,,,,,,,,,
"E02",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"BCoV","Manual",8.2,One-Step RT-ddPCR Kit for Probes,164,,,9.7,6.7,117,16756,117,0,16756,0,0,16873,,,,,,,,,,,,,,,,,,1,1,5851,9807.8,2846.6,2894.9,"Rare Event Detection Experiment",,,,8.9,7.4,,,,,,,,,,,,,
"E03",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18384,0,0,0,18384,0,18384,,,,,,,,,,,,,,,,,,1,1,5851,0,2826.8,2826.8,"Rare Event Detection Experiment",,,,0.088,0,,,,,,,,,,,,,
"E04",Rare Event Detection,"RED","BCoV",Ch1Positive Control,"BCoV","Manual",308,One-Step RT-ddPCR Kit for Probes,6160,,,318,298,3591,11989,0,3591,0,11989,0,15580,,,,,,,,,,,,,,,,,,1,1,5851,9497,2834.6,4370.2,"Rare Event Detection Experiment",,,,313,303,,,,,,,,,,,,,
"F01",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",9.7,One-Step RT-ddPCR Kit for Probes,194,,,11.4,8,130,15683,130,0,15683,0,0,15813,,,,,,,,,,,,,,,,,,1,1,5851,9968.7,2827.6,2886.3,"Rare Event Detection Experiment",,,,10.6,8.9,,,,,,,,,,,,,
"F02",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"BCoV","Manual",8.4,One-Step RT-ddPCR Kit for Probes,168,,,9.9,6.9,120,16808,120,0,16808,0,0,16928,,,,,,,,,,,,,,,,,,1,1,5851,9923.1,2855.8,2905.9,"Rare Event Detection Experiment",,,,9.1,7.6,,,,,,,,,,,,,
"F03",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.22,0,0,15956,0,0,1,15955,0,15956,,,,,,,,,,,,,,,,,,1,1,5851,0,2834.9,2834.9,"Rare Event Detection Experiment",,,,0.1,0,,,,,,,,,,,,,
"F04",Rare Event Detection,"RED","BCoV",Ch1Positive Control,"BCoV","Manual",308,One-Step RT-ddPCR Kit for Probes,6160,,,318,299,4227,14106,0,4227,3,14103,0,18333,,,,,,,,,,,,,,,,,,1,1,5851,9587.3,2885.3,4430.6,"Rare Event Detection Experiment",,,,313.1,303.6,,,,,,,,,,,,,
"G01",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"BCoV","Manual",10.2,One-Step RT-ddPCR Kit for Probes,204,,,11.9,8.5,141,16236,141,0,16236,0,0,16377,,,,,,,,,,,,,,,,,,1,1,5851,9981.8,2767.5,2829.6,"Rare Event Detection Experiment",,,,11,9.3,,,,,,,,,,,,,
"G02",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19905,0,0,2,19903,0,19905,,,,,,,,,,,,,,,,,,1,1,5851,0,2796.1,2796.1,"Rare Event Detection Experiment",,,,0.081,0,,,,,,,,,,,,,
"G03",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,18037,0,0,1,18036,0,18037,,,,,,,,,,,,,,,,,,1,1,5851,0,2820.3,2820.3,"Rare Event Detection Experiment",,,,0.089,0,,,,,,,,,,,,,
"G04",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18885,0,0,4,18881,0,18885,,,,,,,,,,,,,,,,,,1,1,5851,0,2832,2832,"Rare Event Detection Experiment",,,,0.085,0,,,,,,,,,,,,,
"H01",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"BCoV","Manual",9.9,One-Step RT-ddPCR Kit for Probes,198,,,11.6,8.2,128,15198,128,0,15198,0,0,15326,,,,,,,,,,,,,,,,,,1,1,5851,10314,2779.6,2842.5,"Rare Event Detection Experiment",,,,10.7,9,,,,,,,,,,,,,
"H02",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.23,0,0,15573,0,0,1,15572,0,15573,,,,,,,,,,,,,,,,,,1,1,5851,0,2809.5,2809.5,"Rare Event Detection Experiment",,,,0.1,0,,,,,,,,,,,,,
"H03",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.23,0,0,15487,0,0,1,15486,0,15487,,,,,,,,,,,,,,,,,,1,1,5851,0,2722.3,2722.3,"Rare Event Detection Experiment",,,,0.1,0,,,,,,,,,,,,,
"H04",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,18034,0,0,0,18034,0,18034,,,,,,,,,,,,,,,,,,1,1,5851,0,2821.8,2821.8,"Rare Event Detection Experiment",,,,0.089,0,,,,,,,,,,,,,
"A01",Rare Event Detection,"RED","YC210224S",Ch2Unknown,"PMMoV","Manual",25.3,One-Step RT-ddPCR Kit for Probes,506,,,28,22.7,341,15657,1,42,340,15615,0.00629,15998,,,,,,,,0.125,,,0.165,0.085,11.1,,,14.3,8,1,1,2100,2814.7,1662.5,1687,"Rare Event Detection Experiment",,,,26.7,24,,,,,,,0.145,0.105,,,12.7,9.5,
"A02",Rare Event Detection,"RED","YC210224S",Ch2Unknown,"PMMoV","Manual",25.7,One-Step RT-ddPCR Kit for Probes,514,,,28.2,23.2,400,18094,0,33,400,18061,0,18494,,,,,,,,0.082,,,0.111,0.053,7.6,,,10,5.1,1,1,2100,2826.7,1612.8,1639,"Rare Event Detection Experiment",,,,27,24.4,,,,,,,0.096,0.067,,,8.8,6.3,
"A03",Rare Event Detection,"RED","YC210224S-",Ch2Unknown,"PMMoV","Manual",24.8,One-Step RT-ddPCR Kit for Probes,496,,,27.3,22.3,388,18210,0,46,388,18164,0,18598,,,,,,,,0.117,,,0.154,0.081,10.5,,,13.4,7.6,1,1,2100,2924.2,1724.1,1749.1,"Rare Event Detection Experiment",,,,26.1,23.5,,,,,,,0.136,0.099,,,12,9,
"A04",Rare Event Detection,"RED","YC210224S-",Ch2Unknown,"PMMoV","Manual",24.1,One-Step RT-ddPCR Kit for Probes,482,,,26.5,21.7,391,18870,2,35,389,18835,0.078,19261,,,,,,,,0.094,,,0.126,0.062,8.6,,,11.2,5.9,1,1,2100,2898.7,1655.3,1680.5,"Rare Event Detection Experiment",,,,25.3,22.9,,,,,,,0.11,0.078,,,9.9,7.2,
"A05",Rare Event Detection,"RED","NTC",Ch2NTC,"PMMoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,17085,0,0,0,17085,0,17085,,,,,,,,,,,,,,,,,,1,1,2100,0,1708.6,1708.6,"Rare Event Detection Experiment",,,,0.094,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC210225S",Ch2Unknown,"PMMoV","Manual",31,One-Step RT-ddPCR Kit for Probes,620,,,33.8,28.1,443,16612,2,47,441,16565,0.0517,17055,,,,,,,,0.109,,,0.142,0.077,9.9,,,12.5,7.2,1,1,2100,2984.9,1728.5,1761.1,"Rare Event Detection Experiment",,,,32.4,29.5,,,,,,,0.126,0.093,,,11.2,8.5,
"B02",Rare Event Detection,"RED","YC210225S",Ch2Unknown,"PMMoV","Manual",30.1,One-Step RT-ddPCR Kit for Probes,602,,,32.9,27.2,437,16886,2,48,435,16838,0.0516,17323,,,,,,,,0.113,,,0.146,0.08,10.2,,,12.8,7.5,1,1,2100,3023.3,1733.3,1765.8,"Rare Event Detection Experiment",,,,31.5,28.6,,,,,,,0.13,0.096,,,11.5,8.8,
"B03",Rare Event Detection,"RED","YC210225S-",Ch2Unknown,"PMMoV","Manual",30.8,One-Step RT-ddPCR Kit for Probes,616,,,33.8,27.9,420,15817,0,48,420,15769,0,16237,,,,,,,,0.113,,,0.147,0.079,10.2,,,12.9,7.4,1,1,2100,3189.1,1746.2,1783.5,"Rare Event Detection Experiment",,,,32.3,29.3,,,,,,,0.13,0.096,,,11.5,8.8,
"B04",Rare Event Detection,"RED","YC210225S-",Ch2Unknown,"PMMoV","Manual",29.6,One-Step RT-ddPCR Kit for Probes,592,,,32.4,26.9,448,17555,0,32,448,17523,0,18003,,,,,,,,0.071,,,0.096,0.045,6.6,,,8.8,4.4,1,1,2100,2977.7,1717,1748.4,"Rare Event Detection Experiment",,,,31,28.2,,,,,,,0.084,0.058,,,7.7,5.5,
