Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B01",Rare Event Detection,"RED","AA210402S",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,4.1,2.6,41,15922,2,39,687,15235,0.0178,15963,,,,,,,,0.058,,,0.077,0.04,5.5,,,7.2,3.9,1,1,4151,9908.6,2178.2,2198.1,"Rare Event Detection Experiment",,,,3.5,0,,,,,,,0.068,0.049,,,6.3,4.7,
"B02",Rare Event Detection,"RED","AA210402S",Ch1Unknown,"BCoV","Manual",3.8,One-Step RT-ddPCR Kit for Probes,76,,,4.8,3.3,61,19000,8,53,897,18103,0.332,19061,,,,,,,,0.066,,,0.083,0.049,6.2,,,7.7,4.7,1,1,4151,9933.1,2194.9,2219.7,"Rare Event Detection Experiment",,,,4.3,0,,,,,,,0.075,0.057,,,6.9,5.4,
"B03",Rare Event Detection,"RED","AA210402S-",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.2,3.6,66,18760,3,63,918,17842,0,18826,,,,,,,,0.07,,,0.088,0.052,6.5,,,8.1,5,1,1,4151,9964,2198,2225.3,"Rare Event Detection Experiment",,,,4.7,0,,,,,,,0.079,0.061,,,7.3,5.8,
"B04",Rare Event Detection,"RED","AA210402S-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.4,3,59,20232,2,57,896,19336,0,20291,,,,,,,,0.064,,,0.081,0.047,6,,,7.5,4.5,1,1,4151,9890.4,2196.9,2219.2,"Rare Event Detection Experiment",,,,3.9,0,,,,,,,0.073,0.056,,,6.8,5.3,
"B05",Rare Event Detection,"RED","AA210412S",Ch1Unknown,"BCoV","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.7,3.2,62,19726,5,57,1276,18450,0.0629,19788,,,,,,,,0.047,,,0.059,0.035,4.5,,,5.6,3.4,1,1,4151,9903.2,2174,2198.2,"Rare Event Detection Experiment",,,,4.2,0,,,,,,,0.053,0.041,,,5,3.9,
"B06",Rare Event Detection,"RED","AA210412S",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4,2.7,50,18977,5,45,1255,17722,0.112,19027,,,,,,,,0.038,,,0.049,0.027,3.7,,,4.7,2.7,1,1,4151,9506.5,2095.8,2115.2,"Rare Event Detection Experiment",,,,3.6,0,,,,,,,0.044,0.033,,,4.2,3.2,
"B07",Rare Event Detection,"RED","AA210412S-",Ch1Unknown,"BCoV","Manual",6.2,One-Step RT-ddPCR Kit for Probes,124,,,7.4,5.6,100,19010,11,89,1683,17327,0.145,19110,,,,,,,,0.057,,,0.068,0.045,5.3,,,6.4,4.3,1,1,4151,9751.4,2205.1,2244.6,"Rare Event Detection Experiment",,,,6.8,0,,,,,,,0.062,0.051,,,5.9,4.8,
"B08",Rare Event Detection,"RED","AA210412S-",Ch1Unknown,"BCoV","Manual",5.7,One-Step RT-ddPCR Kit for Probes,114,,,6.9,5.1,94,19451,4,90,1406,18045,0,19545,,,,,,,,0.064,,,0.078,0.051,6,,,7.2,4.9,1,1,4151,9505.7,2190.1,2225.3,"Rare Event Detection Experiment",,,,6.3,0,,,,,,,0.071,0.058,,,6.7,5.4,
"B09",Rare Event Detection,"RED","AA210420S",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.1,2.7,49,18314,2,47,898,17416,0,18363,,,,,,,,0.053,,,0.069,0.038,5,,,6.4,3.7,1,1,4151,9521.4,2116.4,2136.2,"Rare Event Detection Experiment",,,,3.6,0,,,,,,,0.061,0.045,,,5.8,4.3,
"B10",Rare Event Detection,"RED","AA210420S",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.1,2.8,54,20076,1,53,973,19103,0,20130,,,,,,,,0.054,,,0.069,0.039,5.1,,,6.5,3.8,1,1,4151,9647.6,2216.6,2236.5,"Rare Event Detection Experiment",,,,3.6,0,,,,,,,0.062,0.047,,,5.8,4.5,
"B11",Rare Event Detection,"RED","AA210420S-",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,3.9,2.6,49,19233,1,48,1032,18201,0,19282,,,,,,,,0.046,,,0.06,0.033,4.4,,,5.6,3.2,1,1,4151,9588,2255.3,2273.9,"Rare Event Detection Experiment",,,,3.4,0,,,,,,,0.053,0.039,,,5,3.8,
"B12",Rare Event Detection,"RED","AA210420S-",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5,3.6,71,20740,4,67,1059,19681,0.0223,20811,,,,,,,,0.065,,,0.081,0.049,6.1,,,7.5,4.7,1,1,4151,9681.4,2290.4,2315.7,"Rare Event Detection Experiment",,,,4.5,0,,,,,,,0.073,0.057,,,6.8,5.4,
"C01",Rare Event Detection,"RED","AA210403S",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.7,3.1,50,16291,2,48,1220,15071,0,16341,,,,,,,,0.039,,,0.051,0.028,3.8,,,4.8,2.8,1,1,4151,9553.9,2028,2051,"Rare Event Detection Experiment",,,,4.1,0,,,,,,,0.045,0.034,,,4.3,3.3,
"C02",Rare Event Detection,"RED","AA210403S",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.5,2.9,47,16290,5,42,1345,14945,0.0879,16337,,,,,,,,0.033,,,0.043,0.024,3.2,,,4.1,2.3,1,1,4151,9762,2065.9,2088,"Rare Event Detection Experiment",,,,3.9,0,,,,,,,0.0384,0.0285,,,3.7,2.77,
"C03",Rare Event Detection,"RED","AA210403S",Ch1Unknown,"BCoV","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.4,2.1,40,18732,3,37,1356,17376,0.00705,18772,,,,,,,,0.028,,,0.037,0.019,2.8,,,3.6,1.9,1,1,4151,9964.5,2155.1,2171.8,"Rare Event Detection Experiment",,,,2.9,0,,,,,,,0.0329,0.0238,,,3.19,2.33,
"C04",Rare Event Detection,"RED","AA210403S",Ch1Unknown,"BCoV","Manual",4.4,One-Step RT-ddPCR Kit for Probes,88,,,5.5,3.9,77,20460,11,66,1496,18964,0.332,20537,,,,,,,,0.049,,,0.061,0.038,4.7,,,5.7,3.7,1,1,4151,9706.8,2097.9,2126.5,"Rare Event Detection Experiment",,,,4.9,0,,,,,,,0.055,0.044,,,5.2,4.2,
"C05",Rare Event Detection,"RED","AA210413S",Ch1Unknown,"BCoV","Manual",5.9,One-Step RT-ddPCR Kit for Probes,118,,,7.2,5.3,93,18559,6,87,1340,17219,0,18652,,,,,,,,0.067,,,0.081,0.053,6.3,,,7.5,5,1,1,4151,9740.3,2180.9,2218.6,"Rare Event Detection Experiment",,,,6.5,0,,,,,,,0.074,0.06,,,6.9,5.6,
"C06",Rare Event Detection,"RED","AA210413S",Ch1Unknown,"BCoV","Manual",4.8,One-Step RT-ddPCR Kit for Probes,96,,,6,4.3,73,17800,5,68,1273,16527,0,17873,,,,,,,,0.055,,,0.068,0.042,5.2,,,6.4,4.1,1,1,4151,9453,2116.1,2146.1,"Rare Event Detection Experiment",,,,5.4,0,,,,,,,0.062,0.049,,,5.8,4.6,
"C07",Rare Event Detection,"RED","AA210413S-",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.7,3.1,55,17902,6,49,1028,16874,0.198,17957,,,,,,,,0.052,,,0.066,0.038,4.9,,,6.2,3.6,1,1,4151,9879.7,2212.6,2236.1,"Rare Event Detection Experiment",,,,4.1,0,,,,,,,0.059,0.045,,,5.6,4.3,
