Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","26YC201217A",Ch1Unknown,"BCoV","Manual",4.6,One-Step RT-ddPCR Kit for Probes,92,,,5.8,4.1,70,17720,7,63,1068,16652,0.196,17790,,,,,,,,0.063,,,0.079,0.048,5.9,,,7.3,4.6,1,1,4232,8955,2499.9,2525.3,"Rare Event Detection Experiment",,,,5.2,0,,,,,,,0.071,0.055,,,6.6,5.3,
"A02",Rare Event Detection,"RED","26YC201217A",Ch1Unknown,"BCoV","Manual",3.8,One-Step RT-ddPCR Kit for Probes,76,,,4.9,3.3,55,17144,4,51,1064,16080,0.0428,17199,,,,,,,,0.05,,,0.064,0.036,4.8,,,6,3.5,1,1,4232,9223,2735.3,2756,"Rare Event Detection Experiment",,,,4.3,0,,,,,,,0.057,0.043,,,5.4,4.1,
"A03",Rare Event Detection,"RED","26YC201217A-",Ch1Unknown,"BCoV","Manual",4.2,One-Step RT-ddPCR Kit for Probes,84,,,5.3,3.7,70,19480,2,68,975,18505,0,19550,,,,,,,,0.07,,,0.087,0.053,6.5,,,8,5.1,1,1,4232,8835.8,2597.8,2620.1,"Rare Event Detection Experiment",,,,4.7,0,,,,,,,0.079,0.061,,,7.3,5.8,
"A04",Rare Event Detection,"RED","26YC201217A-",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.1,2.7,52,19462,2,50,989,18473,0,19514,,,,,,,,0.051,,,0.066,0.037,4.9,,,6.2,3.6,1,1,4232,9273.8,2709.5,2727,"Rare Event Detection Experiment",,,,3.6,0,,,,,,,0.058,0.044,,,5.5,4.2,
"A05",Rare Event Detection,"RED","YC210111S",Ch1Unknown,"BCoV","Manual",5.3,One-Step RT-ddPCR Kit for Probes,106,,,6.6,4.7,76,16880,3,73,759,16121,0,16956,,,,,,,,0.098,,,0.121,0.075,8.9,,,10.8,7,1,1,4232,9122.2,2640.8,2669.9,"Rare Event Detection Experiment",,,,5.9,0,,,,,,,0.109,0.086,,,9.9,7.9,
"A06",Rare Event Detection,"RED","YC210111S",Ch1Unknown,"BCoV","Manual",5.1,One-Step RT-ddPCR Kit for Probes,102,,,6.3,4.6,79,18102,7,72,866,17236,0.219,18181,,,,,,,,0.088,,,0.109,0.068,8.1,,,9.9,6.4,1,1,4232,9364.3,2737.3,2766.1,"Rare Event Detection Experiment",,,,5.7,0,,,,,,,0.099,0.078,,,9,7.3,
"A07",Rare Event Detection,"RED","YC210111S-",Ch1Unknown,"BCoV","Manual",5.2,One-Step RT-ddPCR Kit for Probes,104,,,6.6,4.6,67,15102,0,67,775,14327,0,15169,,,,,,,,0.084,,,0.106,0.063,7.8,,,9.6,6,1,1,4232,9074.2,2639.7,2668.1,"Rare Event Detection Experiment",,,,5.9,0,,,,,,,0.095,0.074,,,8.7,6.9,
"A08",Rare Event Detection,"RED","YC210111S-",Ch1Unknown,"BCoV","Manual",4.7,One-Step RT-ddPCR Kit for Probes,94,,,5.8,4.1,75,18900,5,70,916,17984,0.089,18975,,,,,,,,0.08,,,0.098,0.061,7.4,,,9,5.8,1,1,4232,9245.4,2696.9,2722.8,"Rare Event Detection Experiment",,,,5.2,0,,,,,,,0.089,0.07,,,8.2,6.6,
"A09",Rare Event Detection,"RED","YC210219S",Ch1Unknown,"BCoV","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.3,2.1,38,18221,2,36,524,17697,0.0602,18259,,,,,,,,0.071,,,0.095,0.048,6.7,,,8.7,4.6,1,1,4232,9223.3,2609.4,2623.1,"Rare Event Detection Experiment",,,,2.9,0,,,,,,,0.083,0.059,,,7.7,5.6,
"A10",Rare Event Detection,"RED","YC210219S",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,5,3.3,52,15861,0,52,433,15428,0,15913,,,,,,,,0.119,,,0.153,0.084,10.6,,,13.3,7.9,1,1,4232,9384.3,2753,2774.7,"Rare Event Detection Experiment",,,,4.4,0,,,,,,,0.136,0.101,,,12,9.2,
"A11",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0.21,One-Step RT-ddPCR Kit for Probes,4.2,,,0.54,0.11,3,17205,0,3,9,17196,0,17208,,,,,,,,,,,,,,,,,,1,1,4232,9476.1,2664.2,2665.4,"Rare Event Detection Experiment",,,,0.35,0,,,,,,,,,,,,,
"A12",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17880,0,0,1,17879,0,17880,,,,,,,,,,,,,,,,,,1,1,4232,0,2681.9,2681.9,"Rare Event Detection Experiment",,,,0.09,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","26YC201218A",Ch1Unknown,"BCoV","Manual",4.2,One-Step RT-ddPCR Kit for Probes,84,,,5.3,3.7,67,18628,0,67,812,17816,0,18695,,,,,,,,0.081,,,0.101,0.061,7.5,,,9.2,5.7,1,1,4232,9157.9,2652.3,2675.6,"Rare Event Detection Experiment",,,,4.8,0,,,,,,,0.091,0.071,,,8.4,6.6,
"B02",Rare Event Detection,"RED","26YC201218A",Ch1Unknown,"BCoV","Manual",4.3,One-Step RT-ddPCR Kit for Probes,86,,,5.4,3.9,75,20288,4,71,870,19418,0.0473,20363,,,,,,,,0.084,,,0.104,0.064,7.8,,,9.5,6.1,1,1,4232,9139.1,2694.4,2718.1,"Rare Event Detection Experiment",,,,4.9,0,,,,,,,0.094,0.074,,,8.6,6.9,
"B03",Rare Event Detection,"RED","26YC201218A-",Ch1Unknown,"BCoV","Manual",4.4,One-Step RT-ddPCR Kit for Probes,88,,,5.5,3.8,63,16982,3,60,762,16220,0.0125,17045,,,,,,,,0.081,,,0.101,0.06,7.5,,,9.2,5.7,1,1,4232,9233.6,2645.6,2669.9,"Rare Event Detection Experiment",,,,4.9,0,,,,,,,0.091,0.07,,,8.4,6.6,
"B04",Rare Event Detection,"RED","26YC201218A-",Ch1Unknown,"BCoV","Manual",4.8,One-Step RT-ddPCR Kit for Probes,96,,,6,4.3,79,19184,6,73,846,18338,0.161,19263,,,,,,,,0.091,,,0.112,0.07,8.3,,,10.1,6.6,1,1,4232,9380.6,2790.9,2818,"Rare Event Detection Experiment",,,,5.4,0,,,,,,,0.102,0.08,,,9.2,7.4,
"B05",Rare Event Detection,"RED","YC210112S",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.1,3.6,65,18759,1,64,819,17940,0,18824,,,,,,,,0.078,,,0.097,0.058,7.2,,,8.9,5.5,1,1,4232,9299.4,2710.3,2733.1,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,0.088,0.068,,,8.1,6.3,
"B06",Rare Event Detection,"RED","YC210112S",Ch1Unknown,"BCoV","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.7,3.2,60,19116,4,56,896,18220,0.0765,19176,,,,,,,,0.065,,,0.082,0.048,6.1,,,7.6,4.6,1,1,4232,9447.5,2736.5,2757.5,"Rare Event Detection Experiment",,,,4.2,0,,,,,,,0.074,0.057,,,6.9,5.4,
"B07",Rare Event Detection,"RED","YC210112S-",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,5,3.4,56,16940,2,54,685,16255,0,16996,,,,,,,,0.08,,,0.102,0.058,7.4,,,9.3,5.5,1,1,4232,9420.6,2753.2,2775.2,"Rare Event Detection Experiment",,,,4.4,0,,,,,,,0.091,0.069,,,8.4,6.5,
"B08",Rare Event Detection,"RED","YC210112S-",Ch1Unknown,"BCoV","Manual",2.1,One-Step RT-ddPCR Kit for Probes,42,,,3,1.8,28,15374,0,28,603,14771,0,15402,,,,,,,,0.046,,,0.063,0.028,4.4,,,5.9,2.8,1,1,4232,9093.7,2691.1,2702.8,"Rare Event Detection Experiment",,,,2.6,0,,,,,,,0.054,0.037,,,5.2,3.6,
"B09",Rare Event Detection,"RED","YC210219S-",Ch1Unknown,"BCoV","Manual",3.8,One-Step RT-ddPCR Kit for Probes,76,,,4.9,3.4,60,18378,3,57,609,17769,0.0668,18438,,,,,,,,0.097,,,0.122,0.071,8.8,,,10.9,6.7,1,1,4232,9401.8,2712.3,2734.1,"Rare Event Detection Experiment",,,,4.4,0,,,,,,,0.11,0.084,,,9.9,7.7,
"B10",Rare Event Detection,"RED","YC210219S-",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,4.9,3.4,62,18808,0,62,621,18187,0,18870,,,,,,,,0.098,,,0.124,0.073,9,,,11.1,6.8,1,1,4232,9394.9,2733.4,2755.3,"Rare Event Detection Experiment",,,,4.4,0,,,,,,,0.111,0.085,,,10,7.9,
"B11",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0.14,One-Step RT-ddPCR Kit for Probes,2.8,,,0.44,0.06,2,17102,0,2,10,17092,0,17104,,,,,,,,,,,,,,,,,,1,1,4232,9452.9,2747.4,2748.2,"Rare Event Detection Experiment",,,,0.26,0,,,,,,,,,,,,,
