Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"F01",Rare Event Detection,"RED","YC201023S",Ch1Unknown,"PMMoV","Manual",59,One-Step RT-ddPCR Kit for Probes,1180,,,64,54,494,9583,,,,,,10077,,,,,,,,,,,,,,,,,,1,1,1056,2940.2,826.76,930.36,"Rare Event Detection Experiment",,,,61.8,56.5,,,,,,,,,,,,,
"F02",Rare Event Detection,"RED","YC201023S",Ch1Unknown,"PMMoV","Manual",65,One-Step RT-ddPCR Kit for Probes,1300,,,69.5,60.6,810,14250,,,,,,15060,,,,,,,,,,,,,,,,,,1,1,1056,2935.7,821.02,934.76,"Rare Event Detection Experiment",,,,67.3,62.8,,,,,,,,,,,,,
"F03",Rare Event Detection,"RED","YC201023S-",Ch1Unknown,"PMMoV","Manual",58.6,One-Step RT-ddPCR Kit for Probes,1172,,,63,54.2,686,13437,,,,,,14123,,,,,,,,,,,,,,,,,,1,1,1056,2865.5,815.78,915.34,"Rare Event Detection Experiment",,,,60.8,56.3,,,,,,,,,,,,,
"F04",Rare Event Detection,"RED","YC201023S-",Ch1Unknown,"PMMoV","Manual",58.6,One-Step RT-ddPCR Kit for Probes,1172,,,63,54.1,659,12914,,,,,,13573,,,,,,,,,,,,,,,,,,1,1,1056,2811.4,811.64,908.73,"Rare Event Detection Experiment",,,,60.8,56.3,,,,,,,,,,,,,
"F05",Rare Event Detection,"RED","YC201117S",Ch1Unknown,"PMMoV","Manual",82,One-Step RT-ddPCR Kit for Probes,1640,,,87,77,971,13480,,,,,,14451,,,,,,,,,,,,,,,,,,1,1,1056,2761.9,823.42,953.67,"Rare Event Detection Experiment",,,,84.5,79.2,,,,,,,,,,,,,
"F06",Rare Event Detection,"RED","YC201117S",Ch1Unknown,"PMMoV","Manual",85,One-Step RT-ddPCR Kit for Probes,1700,,,90,79,905,12143,,,,,,13048,,,,,,,,,,,,,,,,,,1,1,1056,2644.6,813.63,940.62,"Rare Event Detection Experiment",,,,87.4,81.8,,,,,,,,,,,,,
"F07",Rare Event Detection,"RED","YC201117S-",Ch1Unknown,"PMMoV","Manual",82,One-Step RT-ddPCR Kit for Probes,1640,,,87,76,874,12167,,,,,,13041,,,,,,,,,,,,,,,,,,1,1,1056,2668.6,812.86,937.23,"Rare Event Detection Experiment",,,,84.4,78.9,,,,,,,,,,,,,
"F08",Rare Event Detection,"RED","YC201117S-",Ch1Unknown,"PMMoV","Manual",85,One-Step RT-ddPCR Kit for Probes,1700,,,90,79,1023,13711,,,,,,14734,,,,,,,,,,,,,,,,,,1,1,1056,2658.3,835.04,961.64,"Rare Event Detection Experiment",,,,87.3,82,,,,,,,,,,,,,
"F09",Rare Event Detection,"RED","YC201204S",Ch1Unknown,"PMMoV","Manual",86,One-Step RT-ddPCR Kit for Probes,1720,,,91,80,986,13071,,,,,,14057,,,,,,,,,,,,,,,,,,1,1,1056,2860.7,827.32,969.95,"Rare Event Detection Experiment",,,,88.3,82.8,,,,,,,,,,,,,
"F10",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"PMMoV","Manual",1000000,One-Step RT-ddPCR Kit for Probes,20000000,,,1000000,10000,11863,0,,,,,,11863,,,,,,,,,,,,,,,,,,1,1,1056,4722.9,0,4722.9,"Rare Event Detection Experiment",,,,1000000,10000,,,,,,,,,,,,,
