Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC210224S",Ch1Unknown,"BCoV","Manual",2.1,One-Step RT-ddPCR Kit for Probes,42,,,3,1.5,33,18153,4,29,436,17717,0.213,18186,,,,,,,,0.074,,,0.101,0.048,6.9,,,9.2,4.6,1,1,3230,8538.6,2589.1,2599.9,"Rare Event Detection Experiment",,,,2.53,1.79,,,,,,,0.088,0.061,,,8.1,5.7,
"A02",Rare Event Detection,"RED","YC210224S",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,5,3,59,17733,1,58,437,17296,0,17792,,,,,,,,0.133,,,0.17,0.097,11.8,,,14.6,8.9,1,1,3230,8957.2,2717.2,2737.9,"Rare Event Detection Experiment",,,,4.4,3.4,,,,,,,0.152,0.115,,,13.2,10.3,
"A03",Rare Event Detection,"RED","YC210224S-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.9,2.2,44,17543,0,44,418,17125,0,17587,,,,,,,,0.104,,,0.137,0.072,9.4,,,12.1,6.8,1,1,3230,8932.6,2579.3,2595.2,"Rare Event Detection Experiment",,,,3.41,2.53,,,,,,,0.121,0.088,,,10.8,8.1,
"A04",Rare Event Detection,"RED","YC210224S-",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4,2.3,52,19968,3,49,435,19533,0.112,20020,,,,,,,,0.118,,,0.152,0.084,10.5,,,13.2,7.8,1,1,3230,9133.3,2668.9,2685.7,"Rare Event Detection Experiment",,,,3.5,2.66,,,,,,,0.135,0.1,,,11.9,9.1,
"A05",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19424,0,0,1,19423,0,19424,,,,,,,,,,,,,,,,,,1,1,3230,0,2532.3,2532.3,"Rare Event Detection Experiment",,,,0.083,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC210225S",Ch1Unknown,"BCoV","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.5,1.8,38,17339,2,36,430,16909,0.0734,17377,,,,,,,,0.087,,,0.116,0.058,8,,,10.5,5.5,1,1,3230,9152.1,2720.4,2734.4,"Rare Event Detection Experiment",,,,3.02,2.18,,,,,,,0.102,0.072,,,9.2,6.8,
"B02",Rare Event Detection,"RED","YC210225S",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.5,2.5,47,16142,1,46,396,15746,0,16189,,,,,,,,0.117,,,0.153,0.082,10.5,,,13.3,7.6,1,1,3353,9005.4,2785.1,2803.2,"Rare Event Detection Experiment",,,,3.94,2.95,,,,,,,0.135,0.099,,,11.9,9,
"B03",Rare Event Detection,"RED","YC210225S-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.8,2.1,41,16806,3,38,432,16374,0.139,16847,,,,,,,,0.093,,,0.123,0.063,8.5,,,11,6,1,1,3230,9038,2707.8,2723.2,"Rare Event Detection Experiment",,,,3.34,2.44,,,,,,,0.108,0.078,,,9.8,7.2,
"B04",Rare Event Detection,"RED","YC210225S-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.8,2.1,47,19126,1,46,525,18601,0,19173,,,,,,,,0.088,,,0.115,0.062,8.1,,,10.3,5.9,1,1,3230,8769.7,2754.2,2768.9,"Rare Event Detection Experiment",,,,3.33,2.49,,,,,,,0.102,0.075,,,9.2,7,
"B05",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.12,One-Step RT-ddPCR Kit for Probes,2.4,,,0.4,0.02,2,18914,1,1,2,18912,0.0622,18916,,,,,,,,,,,,,,,,,,1,1,3230,3491.2,2700.5,2700.6,"Rare Event Detection Experiment",,,,0.24,0.05,,,,,,,,,,,,,
