Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B05",Rare Event Detection,"RED","AA210430S",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.1,3.6,73,21085,2,71,1244,19841,0,21158,,,,,,,,0.057,,,0.07,0.043,5.4,,,6.6,4.2,1,1,3594,7866.6,2145.3,2165,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,0.064,0.05,,,6,4.8,
"B06",Rare Event Detection,"RED","AA210430S",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.1,3.5,60,17556,5,55,1049,16507,0.101,17616,,,,,,,,0.055,,,0.07,0.041,5.2,,,6.5,3.9,1,1,3594,7896.2,2148.3,2167.8,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,0.063,0.048,,,5.9,4.6,
"B07",Rare Event Detection,"RED","AA210430S-",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,5,3.4,59,17731,4,55,1050,16681,0.0356,17790,,,,,,,,0.054,,,0.069,0.04,5.2,,,6.4,3.9,1,1,3594,7993.1,2179,2198.3,"Rare Event Detection Experiment",,,,4.4,0,,,,,,,0.062,0.047,,,5.8,4.5,
"B08",Rare Event Detection,"RED","AA210430S-",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.1,3.7,76,21591,2,74,1224,20367,0,21667,,,,,,,,0.06,,,0.074,0.046,5.7,,,6.9,4.4,1,1,3594,7901.9,2167.3,2187.4,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,0.067,0.053,,,6.3,5.1,
"B09",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.47,One-Step RT-ddPCR Kit for Probes,9.4,,,0.88,0.32,8,20107,0,8,56,20051,0,20115,,,,,,,,,,,,,,,,,,1,1,3594,7812.5,2055.9,2058.2,"Rare Event Detection Experiment",,,,0.65,0,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","AA210423S",Ch1Unknown,"BCoV","Manual",5,One-Step RT-ddPCR Kit for Probes,100,,,6.2,4.5,80,18608,6,74,1724,16884,0,18688,,,,,,,,0.044,,,0.054,0.034,4.2,,,5.1,3.3,1,1,3594,7894.1,2024.1,2049.2,"Rare Event Detection Experiment",,,,5.6,0,,,,,,,0.049,0.039,,,4.69,3.77,
"C02",Rare Event Detection,"RED","AA210423S",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,5.2,2.9,24,7899,1,23,541,7358,0,7923,,,,,,,,0.043,,,0.06,0.025,4.1,,,5.7,2.5,1,1,3594,5860.4,1532.8,1545.9,"Rare Event Detection Experiment",,,,4.3,0,,,,,,,0.052,0.034,,,4.9,3.3,
"C03",Rare Event Detection,"RED","AA210423S-",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,3.1,54,17948,6,48,1466,16482,0.113,18002,,,,,,,,0.035,,,0.045,0.026,3.4,,,4.3,2.5,1,1,3594,8076.2,2156.5,2174.3,"Rare Event Detection Experiment",,,,4,0,,,,,,,0.0401,0.0303,,,3.86,2.95,
"C04",Rare Event Detection,"RED","AA210423S-",Ch1Unknown,"BCoV","Manual",4.7,One-Step RT-ddPCR Kit for Probes,94,,,5.7,4.2,82,20655,7,75,1663,18992,0.0246,20737,,,,,,,,0.047,,,0.058,0.037,4.5,,,5.5,3.5,1,1,3594,7895.6,2051.7,2074.8,"Rare Event Detection Experiment",,,,5.2,0,,,,,,,0.053,0.042,,,4.99,4.02,
"C05",Rare Event Detection,"RED","AA210501S",Ch1Unknown,"BCoV","Manual",5.7,One-Step RT-ddPCR Kit for Probes,114,,,6.9,5.1,91,18831,9,82,1410,17421,0.147,18922,,,,,,,,0.062,,,0.075,0.049,5.8,,,7,4.7,1,1,3594,7985.4,2099.2,2127.6,"Rare Event Detection Experiment",,,,6.3,0,,,,,,,0.069,0.055,,,6.4,5.2,
