Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C04",Rare Event Detection,"RED","YC210209S-",Ch1Unknown,"BCoV","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.1,0.9,23,18556,0,23,438,18118,0,18579,,,,,,,,0.052,,,0.074,0.03,4.9,,,6.9,3,1,1,5229,8927.9,2538.9,2546.8,"Rare Event Detection Experiment",,,,1.78,1.17,,,,,,,0.063,0.041,,,5.9,3.9,
"C05",Rare Event Detection,"RED","BCoV 2",Ch1Positive Control,"BCoV","Manual",2691,One-Step RT-ddPCR Kit for Probes,53820,,,2740,2644,18143,2050,2,18141,0,2050,0.117,20193,,,,,,,,,,,,,,,,,,1,1,5229,9301.8,2596.8,8621.1,"Rare Event Detection Experiment",,,,2716,2667,,,,,,,,,,,,,
"D01",Rare Event Detection,"RED","YC210210S",Ch1Unknown,"BCoV","Manual",2,One-Step RT-ddPCR Kit for Probes,40,,,2.8,1.3,26,15536,0,26,582,14954,0,15562,,,,,,,,0.044,,,0.061,0.026,4.2,,,5.8,2.6,1,1,5229,9315.5,2689.1,2700.1,"Rare Event Detection Experiment",,,,2.38,1.61,,,,,,,0.053,0.035,,,5,3.4,
"D02",Rare Event Detection,"RED","YC210210S",Ch1Unknown,"BCoV","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.4,1.6,28,13681,2,26,479,13202,0.0907,13709,,,,,,,,0.057,,,0.079,0.035,5.4,,,7.4,3.4,1,1,5229,8741.5,2471.5,2484.3,"Rare Event Detection Experiment",,,,2.89,1.98,,,,,,,0.068,0.046,,,6.4,4.4,
"D03",Rare Event Detection,"RED","YC210210S-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.6,2.5,44,15025,1,43,558,14467,0,15069,,,,,,,,0.077,,,0.101,0.053,7.2,,,9.2,5.1,1,1,5229,8950,2515.5,2534.3,"Rare Event Detection Experiment",,,,4,2.9,,,,,,,0.089,0.065,,,8.2,6.1,
"D04",Rare Event Detection,"RED","YC210210S-",Ch1Unknown,"BCoV","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.3,0.9,20,15721,0,20,566,15155,0,15741,,,,,,,,0.035,,,0.05,0.019,3.4,,,4.8,1.9,1,1,5229,9039.3,2554.4,2562.6,"Rare Event Detection Experiment",,,,1.86,1.19,,,,,,,0.043,0.027,,,4.1,2.6,
"D05",Rare Event Detection,"RED","BCoV 2",Ch1Positive Control,"BCoV","Manual",2690,One-Step RT-ddPCR Kit for Probes,53800,,,2740,2640,16457,1866,0,16457,0,1866,0,18323,,,,,,,,,,,,,,,,,,1,1,5229,9252.9,2502.9,8565.5,"Rare Event Detection Experiment",,,,2714,2662,,,,,,,,,,,,,
"E01",Rare Event Detection,"RED","YC210211S",Ch1Unknown,"BCoV","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.7,1.9,37,15871,3,34,768,15103,0.094,15908,,,,,,,,0.047,,,0.062,0.031,4.5,,,5.9,3.1,1,1,5229,9178.5,2596.2,2611.6,"Rare Event Detection Experiment",,,,3.21,2.31,,,,,,,0.055,0.039,,,5.2,3.8,
"E02",Rare Event Detection,"RED","YC210211S",Ch1Unknown,"BCoV","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,2.6,1.2,28,17931,1,27,850,17081,0,17959,,,,,,,,0.032,,,0.044,0.02,3.1,,,4.3,2,1,1,5229,8913.2,2548.7,2558.6,"Rare Event Detection Experiment",,,,2.2,1.51,,,,,,,0.038,0.026,,,3.7,2.5,
"E03",Rare Event Detection,"RED","YC210211S-",Ch1Unknown,"BCoV","Manual",2,One-Step RT-ddPCR Kit for Probes,40,,,2.8,1.4,29,16948,0,29,648,16300,0,16977,,,,,,,,0.044,,,0.06,0.027,4.2,,,5.7,2.7,1,1,5229,8965.7,2579.2,2590.1,"Rare Event Detection Experiment",,,,2.41,1.66,,,,,,,0.052,0.036,,,5,3.4,
