Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC201019S",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.2,3,52,15243,2,50,826,14417,0,15295,,,,,,,,0.061,,,0.078,0.044,5.8,,,7.3,4.2,1,1,4386,9121.2,2459,2481.6,"Rare Event Detection Experiment",,,,4.6,3.5,,,,,,,0.07,0.052,,,6.5,5,
"A02",Rare Event Detection,"RED","YC201019S",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.6,50,16742,2,48,928,15814,0,16792,,,,,,,,0.052,,,0.067,0.037,5,,,6.3,3.6,1,1,4386,9080.5,2440.2,2460,"Rare Event Detection Experiment",,,,4.03,3.04,,,,,,,0.06,0.045,,,5.7,4.3,
"A03",Rare Event Detection,"RED","YC201019S-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.9,2.1,45,18130,3,42,964,17166,0.0415,18175,,,,,,,,0.045,,,0.059,0.032,4.3,,,5.6,3.1,1,1,4386,8998,2436.3,2452.6,"Rare Event Detection Experiment",,,,3.37,2.5,,,,,,,0.052,0.038,,,5,3.7,
"A04",Rare Event Detection,"RED","YC201019S-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.3,2.5,55,19279,2,53,987,18292,0,19334,,,,,,,,0.054,,,0.069,0.039,5.1,,,6.5,3.8,1,1,4386,8926.9,2400,2418.6,"Rare Event Detection Experiment",,,,3.82,2.92,,,,,,,0.062,0.047,,,5.8,4.5,
"A05",Rare Event Detection,"RED","YC201105S",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.2,2.4,51,18573,2,49,884,17689,0,18624,,,,,,,,0.056,,,0.072,0.04,5.3,,,6.8,3.9,1,1,4386,9151,2504,2522.2,"Rare Event Detection Experiment",,,,3.7,2.8,,,,,,,0.064,0.048,,,6.1,4.6,
"A06",Rare Event Detection,"RED","YC201105S",Ch1Unknown,"BCoV","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.4,1.7,34,16050,3,31,746,15304,0.109,16084,,,,,,,,0.044,,,0.06,0.029,4.2,,,5.7,2.8,1,1,4386,9105.9,2443.9,2458,"Rare Event Detection Experiment",,,,2.94,2.09,,,,,,,0.052,0.037,,,5,3.5,
"A07",Rare Event Detection,"RED","YC201105S-",Ch1Unknown,"BCoV","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.6,2,48,20442,3,45,996,19446,0.0399,20490,,,,,,,,0.047,,,0.061,0.033,4.5,,,5.7,3.2,1,1,4386,8947.8,2473,2488.2,"Rare Event Detection Experiment",,,,3.18,2.38,,,,,,,0.054,0.04,,,5.1,3.9,
"A08",Rare Event Detection,"RED","YC201105S-",Ch1Unknown,"BCoV","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.3,1.8,40,19263,5,35,913,18350,0.199,19303,,,,,,,,0.043,,,0.056,0.029,4.1,,,5.3,2.8,1,1,4386,9085.5,2432.6,2446.4,"Rare Event Detection Experiment",,,,2.85,2.08,,,,,,,0.049,0.036,,,4.7,3.5,
"A09",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"BCoV","Manual",4.5,One-Step RT-ddPCR Kit for Probes,90,,,5.7,3.5,64,16590,64,0,16590,0,0,16654,,,,,,,,,,,,,,,,,,1,1,4386,9629.2,2473.8,2501.3,"Rare Event Detection Experiment",,,,5.1,4,,,,,,,,,,,,,
"A10",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.17,0,0,21325,0,0,46,21279,0,21325,,,,,,,,,,,,,,,,,,1,1,4386,0,2408.5,2408.5,"Rare Event Detection Experiment",,,,0.076,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC201020S",Ch1Unknown,"BCoV","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.4,1.8,39,18320,37,2,17143,1177,0.504,18359,,,,,,,,0.00077,,,0.00102,0.00053,0.077,,,0.102,0.053,1,1,4386,9967.3,2529.6,2545.4,"Rare Event Detection Experiment",,,,2.92,2.12,,,,,,,0.0009,0.00065,,,0.09,0.065,
"B02",Rare Event Detection,"RED","YC201020S",Ch1Unknown,"BCoV","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.6,1.9,36,16072,35,1,15090,982,1.43,16108,,,,,,,,0.0008,,,0.00106,0.00054,0.08,,,0.106,0.054,1,1,4386,9906.1,2541.6,2558,"Rare Event Detection Experiment",,,,3.09,2.22,,,,,,,0.00093,0.00067,,,0.093,0.067,
"B03",Rare Event Detection,"RED","YC201020S-",Ch1Unknown,"BCoV","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.7,2,41,17615,38,3,16571,1044,0,17656,,,,,,,,0.00082,,,0.00108,0.00057,0.082,,,0.108,0.057,1,1,4386,9691.2,2462.7,2479.4,"Rare Event Detection Experiment",,,,3.18,2.33,,,,,,,0.00095,0.00069,,,0.095,0.069,
"B04",Rare Event Detection,"RED","YC201020S-",Ch1Unknown,"BCoV","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.7,2.8,60,19097,56,4,18263,834,0,19157,,,,,,,,0.001,,,0.00126,0.00075,0.1,,,0.126,0.075,1,1,4386,9787.9,2509.2,2532,"Rare Event Detection Experiment",,,,4.19,3.24,,,,,,,0.00113,0.00087,,,0.113,0.087,
"B05",Rare Event Detection,"RED","YC201106S",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,4,2.2,48,18662,1,47,1044,17618,0,18710,,,,,,,,0.045,,,0.058,0.032,4.3,,,5.5,3.1,1,1,4386,9108.5,2541.7,2558.6,"Rare Event Detection Experiment",,,,3.48,2.61,,,,,,,0.051,0.038,,,4.9,3.7,
"B06",Rare Event Detection,"RED","YC201106S",Ch1Unknown,"BCoV","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.8,2.8,55,17435,0,55,942,16493,0,17490,,,,,,,,0.057,,,0.072,0.041,5.4,,,6.8,4,1,1,4386,9281.7,2533.5,2554.8,"Rare Event Detection Experiment",,,,4.23,3.23,,,,,,,0.065,0.049,,,6.1,4.7,
"B07",Rare Event Detection,"RED","YC201106S-",Ch1Unknown,"BCoV","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.6,2,43,18453,1,42,976,17477,0,18496,,,,,,,,0.043,,,0.056,0.03,4.1,,,5.3,2.9,1,1,4386,9186.7,2542.4,2557.8,"Rare Event Detection Experiment",,,,3.18,2.34,,,,,,,0.05,0.036,,,4.7,3.5,
"B08",Rare Event Detection,"RED","YC201106S-",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.1,2.2,42,15953,1,41,881,15072,0,15995,,,,,,,,0.046,,,0.061,0.032,4.4,,,5.7,3.1,1,1,4386,9078.7,2522.5,2539.8,"Rare Event Detection Experiment",,,,3.59,2.64,,,,,,,0.054,0.039,,,5.1,3.8,
