Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","AA210503S",Ch1Unknown,"BCoV","Manual",4.8,One-Step RT-ddPCR Kit for Probes,96,,,6.1,4.3,71,17242,4,67,1887,15355,0,17313,,,,,,,,0.036,,,0.044,0.027,3.4,,,4.2,2.6,1,1,4943,7683.3,2170.5,2193.1,"Rare Event Detection Experiment",,,,5.4,0,,,,,,,0.0398,0.0312,,,3.83,3.03,
"A02",Rare Event Detection,"RED","AA210503S",Ch1Unknown,"BCoV","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.7,3.3,63,19847,6,57,2232,17615,0,19910,,,,,,,,0.027,,,0.033,0.02,2.6,,,3.2,2,1,1,4943,7922.1,2319.2,2337,"Rare Event Detection Experiment",,,,4.2,0,,,,,,,0.03,0.0232,,,2.91,2.27,
"A03",Rare Event Detection,"RED","AA210503S-",Ch1Unknown,"BCoV","Manual",4.3,One-Step RT-ddPCR Kit for Probes,86,,,5.4,3.8,67,18315,12,55,2226,16089,0.281,18382,,,,,,,,0.028,,,0.035,0.021,2.7,,,3.4,2.1,1,1,4943,8136.5,2392,2412.9,"Rare Event Detection Experiment",,,,4.8,0,,,,,,,0.0316,0.0246,,,3.07,2.41,
"A04",Rare Event Detection,"RED","AA210503S-",Ch1Unknown,"BCoV","Manual",4.9,One-Step RT-ddPCR Kit for Probes,98,,,6,4.4,85,20409,14,71,2499,17910,0.235,20494,,,,,,,,0.032,,,0.039,0.025,3.1,,,3.7,2.4,1,1,4943,8016,2369.3,2392.7,"Rare Event Detection Experiment",,,,5.4,0,,,,,,,0.0353,0.0283,,,3.41,2.75,
"A05",Rare Event Detection,"RED"," POS 1",Ch1Positive Control,"BCoV","Manual",8.8,One-Step RT-ddPCR Kit for Probes,176,,,10.2,8.1,145,19352,145,0,19352,0,0,19497,,,,,,,,,,,,,,,,,,1,1,4943,8357.3,2311.9,2356.9,"Rare Event Detection Experiment",,,,9.5,0,,,,,,,,,,,,,
"A06",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,407,0,0,0,407,0,407,,,,,,,,,,,,,,,,,,1,1,4943,0,392.94,392.94,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"A07",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.89,One-Step RT-ddPCR Kit for Probes,17.8,,,1.44,0.67,14,18574,0,14,796,17778,0,18588,,,,,,,,,,,,,,,,,,1,1,4943,7764.8,2404,2408.1,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","AA210504S",Ch1Unknown,"BCoV","Manual",5.6,One-Step RT-ddPCR Kit for Probes,112,,,6.9,5.1,93,19329,9,84,1880,17449,0,19422,,,,,,,,0.047,,,0.057,0.037,4.5,,,5.4,3.6,1,1,4943,7904.5,2331.6,2358.3,"Rare Event Detection Experiment",,,,6.3,0,,,,,,,0.0519,0.0419,,,4.93,4.03,
"B02",Rare Event Detection,"RED","AA210504S",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.2,3.6,67,19102,5,62,2002,17100,0,19169,,,,,,,,0.032,,,0.039,0.024,3.1,,,3.8,2.3,1,1,4943,8170.8,2427.7,2447.7,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,0.0356,0.0277,,,3.44,2.7,
"B03",Rare Event Detection,"RED","AA210504S-",Ch1Unknown,"BCoV","Manual",5.3,One-Step RT-ddPCR Kit for Probes,106,,,6.5,4.8,97,21396,10,87,2319,19077,0,21493,,,,,,,,0.039,,,0.047,0.031,3.8,,,4.5,3,1,1,4943,8006.3,2408.2,2433.4,"Rare Event Detection Experiment",,,,5.9,0,,,,,,,0.0435,0.0354,,,4.17,3.42,
"B04",Rare Event Detection,"RED","AA210504S-",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,4.9,3.4,66,20074,13,53,2242,17832,0.37,20140,,,,,,,,0.028,,,0.034,0.021,2.7,,,3.3,2,1,1,4943,7934.2,2329.7,2348,"Rare Event Detection Experiment",,,,4.4,0,,,,,,,0.0311,0.0242,,,3.02,2.36,
"B05",Rare Event Detection,"RED"," POS 1",Ch1Positive Control,"BCoV","Manual",7.8,One-Step RT-ddPCR Kit for Probes,156,,,9.1,7.2,141,21079,141,0,21079,0,0,21220,,,,,,,,,,,,,,,,,,1,1,4943,8224.1,2328.1,2367.3,"Rare Event Detection Experiment",,,,8.5,0,,,,,,,,,,,,,
"B06",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0.33,One-Step RT-ddPCR Kit for Probes,6.6,,,0.68,0.21,6,21310,2,4,634,20676,0.104,21316,,,,,,,,,,,,,,,,,,1,1,4943,7277.1,2462.2,2463.6,"Rare Event Detection Experiment",,,,0.49,0,,,,,,,,,,,,,
"B07",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.81,One-Step RT-ddPCR Kit for Probes,16.2,,,1.29,0.62,15,21822,0,15,747,21075,0,21837,,,,,,,,,,,,,,,,,,1,1,4943,7841.5,2425.6,2429.3,"Rare Event Detection Experiment",,,,1,0,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","AA210505S",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.1,3.5,67,19606,5,62,1953,17653,0,19673,,,,,,,,0.033,,,0.041,0.025,3.2,,,3.9,2.4,1,1,4943,7887,2241.6,2260.9,"Rare Event Detection Experiment",,,,4.5,0,,,,,,,0.0366,0.0285,,,3.53,2.77,
"C02",Rare Event Detection,"RED","AA210505S",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.8,3.1,41,13329,4,37,1325,12004,0,13370,,,,,,,,0.029,,,0.039,0.02,2.8,,,3.7,2,1,1,4943,8055.4,2326.1,2343.6,"Rare Event Detection Experiment",,,,4.2,0,,,,,,,0.034,0.0247,,,3.29,2.41,
"C03",Rare Event Detection,"RED","AA210505S-",Ch1Unknown,"BCoV","Manual",4.2,One-Step RT-ddPCR Kit for Probes,84,,,5.2,3.7,73,20411,8,65,2386,18025,0,20484,,,,,,,,0.029,,,0.035,0.022,2.8,,,3.4,2.2,1,1,4943,8054.3,2364.5,2384.8,"Rare Event Detection Experiment",,,,4.7,0,,,,,,,0.0321,0.0253,,,3.11,2.47,
"C04",Rare Event Detection,"RED","AA210505S-",Ch1Unknown,"BCoV","Manual",5,One-Step RT-ddPCR Kit for Probes,100,,,6.1,4.5,86,20179,11,75,2354,17825,0.0636,20265,,,,,,,,0.034,,,0.042,0.027,3.3,,,4,2.6,1,1,4943,8082.2,2375.1,2399.3,"Rare Event Detection Experiment",,,,5.6,0,,,,,,,0.038,0.0305,,,3.66,2.96,
"C05",Rare Event Detection,"RED"," POS 2",Ch1Positive Control,"BCoV","Manual",7.7,One-Step RT-ddPCR Kit for Probes,154,,,9.3,6.9,92,14083,92,0,14041,42,7.66,14175,,,,,,,,,,,,,,,,,,1,1,3932,7180.8,2012.1,2045.7,"Rare Event Detection Experiment",,,,8.5,0,,,,,,,,,,,,,
"C06",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"BCoV","Manual",0.12,One-Step RT-ddPCR Kit for Probes,2.4,,,0.37,0.05,2,20450,0,2,640,19810,0,20452,,,,,,,,,,,,,,,,,,1,1,4943,8058.4,2466.3,2466.9,"Rare Event Detection Experiment",,,,0.22,0,,,,,,,,,,,,,
"C07",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.6,One-Step RT-ddPCR Kit for Probes,12,,,1.09,0.42,9,17606,2,7,614,16992,0.117,17615,,,,,,,,,,,,,,,,,,1,1,4943,8095.7,2390.3,2393.2,"Rare Event Detection Experiment",,,,0.83,0,,,,,,,,,,,,,
"D01",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.68,One-Step RT-ddPCR Kit for Probes,13.6,,,1.17,0.5,11,18988,0,11,640,18348,0,18999,,,,,,,,,,,,,,,,,,1,1,4943,7831.9,2300.5,2303.7,"Rare Event Detection Experiment",,,,0.91,0,,,,,,,,,,,,,
"D02",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.15,1.22,26,20387,1,25,1003,19384,0,20413,,,,,,,,,,,,,,,,,,1,1,4943,7945.6,2389.1,2396.2,"Rare Event Detection Experiment",,,,1.8,0,,,,,,,,,,,,,
"D03",Rare Event Detection,"RED","AA210506S-",Ch1Unknown,"BCoV","Manual",5.5,One-Step RT-ddPCR Kit for Probes,110,,,6.7,5,96,20356,9,87,2315,18041,0,20452,,,,,,,,0.039,,,0.047,0.031,3.8,,,4.5,3,1,1,4943,8108.3,2381.9,2408.8,"Rare Event Detection Experiment",,,,6.1,0,,,,,,,0.0431,0.035,,,4.13,3.38,
